who_term,best_abpath_match,score,bucket,source,note
BST::Soft_Tissue::Vascular::Arteriovenous_Malformation_Hemangioma,BST::Soft_Tissue::Vascular::Benign::Cavernous_Hemangioma,76,rejected,who,
BST::Soft_Tissue::Vascular::Composite_Hemangioendothelioma,BST::Soft_Tissue::Vascular::Intermediate::Composite_Hemangioendothelioma,89,review,who,
BST::Soft_Tissue::Vascular::Epithelioid_Hemangioma,BST::Soft_Tissue::Vascular::Benign::Glomeruloid_Hemangioma,85,review,who,
BST::Soft_Tissue::Vascular::Intramuscular_Angioma,BST::Soft_Tissue::Vascular::Benign::Bacillary_Angiomatosis,80,review,who,
BST::Soft_Tissue::Vascular::Kaposi_Sarcoma,BST::Soft_Tissue::Vascular::Intermediate::Kaposi_Sarcoma,86,review,who,
BST::Soft_Tissue::Vascular::Lymphangioma_and_Lymphangiomatosis,BST::Soft_Tissue::Vascular::Benign::Lymphangioma,73,rejected,who,
BST::Soft_Tissue::Vascular::Papillary_Intralymphatic_Angioendothelioma,BST::Soft_Tissue::Vascular::Intermediate::Papillary_Intralymphatic_Angioendothelioma,91,accepted,who,
BST::Soft_Tissue::Vascular::Pseudomyogenic_Hemangioendothelioma,BST::Soft_Tissue::Vascular::Intermediate::Pseudomyogenic_Hemangioendothelioma,90,accepted,who,
BST::Soft_Tissue::Vascular::Retiform_Hemangioendothelioma,BST::Soft_Tissue::Vascular::Intermediate::Retiform_Hemangioendothelioma,89,review,who,
BST::Soft_Tissue::Vascular::Synovial_Hemangioma,BST::Soft_Tissue::Vascular::Benign::Sinusoidal_Hemangioma,87,review,who,
BST::Soft_Tissue::Vascular::Tufted_Angioma_and_Kaposiform_Hemangioendothelioma,BST::Soft_Tissue::Vascular::Intermediate::Kaposiform_Hemangioendothelioma,83,review,who,
BST::Soft_Tissue::Vascular::Venous_Hemangioma,BST::Soft_Tissue::Vascular::Benign::Cavernous_Hemangioma,89,review,who,
BST::Soft_TissueAdipocytic::Lipoma,BST::Soft_Tissue::Adipocytic::Benign::Angiolipoma,82,review,who,
BST::Syndromes::Multiple_Osteochondromas,BST::Syndromes::Predisposition::Skeletal::Multiple_Osteochondromas,75,rejected,who,
BST::Syndromes::Neurofibromatosis_Type_1,BST::Syndromes::Predisposition::General::Neurofibromatosis_Type_1,76,rejected,who,
BST::Syndromes::Rothmund_Thomson_Syndrome,BST::Syndromes::Predisposition::General::Rothmund_Thomson_Syndrome,77,rejected,who,
BST::Syndromes::Werner_Syndrome,BST::Syndromes::Predisposition::General::Werner_Syndrome,71,rejected,who,
CYTO_PANCREAS::Benign::Neoplastic::Lymphangioma,Cyto_Breast::Benign::Neoplasm::Lipoma,79,rejected,who,
CYTO_PANCREAS::Benign::Neoplastic::Other_Rare_Benign_Neoplasms,Cyto_Breast::Benign::Neoplasm::Tubular_Adenoma,67,rejected,who,
CYTO_PANCREAS::Benign::Neoplastic::Schwannoma,Cyto_Breast::Benign::Non_Neoplastic::Seroma,80,review,who,
CYTO_PANCREAS::Benign::Neoplastic::Serous_Cystadenoma,Cyto_Breast::Benign::Non_Neoplastic::Sclerosing_Adenosis,77,rejected,who,
CYTO_PANCREAS::Benign::Non_Neoplastic::Acute_Pancreatitis,Cyto_Breast::Benign::Non_Neoplastic::Galactocele,76,rejected,who,
CYTO_PANCREAS::Benign::Non_Neoplastic::Autoimmune_IgG4_Related_Pancreatitis,Cyto_Breast::Benign::Non_Neoplastic::Galactocele,67,rejected,who,
CYTO_PANCREAS::Benign::Non_Neoplastic::Cholangitis,Cyto_Breast::Benign::Non_Neoplastic::Gynecomastia,81,review,who,
CYTO_PANCREAS::Benign::Non_Neoplastic::Chronic_Pancreatitis,Cyto_Breast::Benign::Non_Neoplastic::Sclerosing_Adenosis,77,rejected,who,
CYTO_PANCREAS::Benign::Non_Neoplastic::Groove_Paraduodenal_Pancreatitis,Cyto_Breast::Benign::Non_Neoplastic::Galactocele,69,rejected,who,
CYTO_PANCREAS::Benign::Non_Neoplastic::Lymphoepithelial_Cyst,Cyto_Breast::Benign::Non_Neoplastic::Gynecomastia,73,rejected,who,
CYTO_PANCREAS::Benign::Non_Neoplastic::Normal_Parenchyma_And_Contaminants,Cyto_Breast::Benign::Non_Neoplastic::Synovial_Metaplasia_Implants,71,rejected,who,
CYTO_PANCREAS::Benign::Non_Neoplastic::Pseudocysts,Cyto_Breast::Benign::Non_Neoplastic::Cyst_Simple,82,review,who,
CYTO_PANCREAS::Benign::Non_Neoplastic::Splenule_Accessory_Spleen,Cyto_Breast::Benign::Non_Neoplastic::Sclerosing_Adenosis,72,rejected,who,
CYTO_PANCREAS::High_Risk::Biliary_IPN_High_Grade,Cyto_GI_Tract::Esophagus::Benign_Precursor::Dysplasia_High_Grade,55,rejected,who,
CYTO_PANCREAS::High_Risk::Biliary_Intraepithelial_Neoplasia_High_Grade,Cyto_GYN::Squamous::Anal_Intraepithelial_Neoplasia_High_Grade_HSIL,69,rejected,who,
CYTO_PANCREAS::High_Risk::Intraductal_Oncocytic_Papillary_Neoplasm,Cyto_Breast::Nipple_Discharge::Intraductal_Papilloma,61,rejected,who,
CYTO_PANCREAS::High_Risk::Intraductal_Tubulopapillary_Neoplasm,Cyto_Breast::Nipple_Discharge::Intraductal_Papilloma,63,rejected,who,
CYTO_PANCREAS::High_Risk::Mucinous_Cystic_Neoplasm_High_Grade,Cyto_GI_Tract::Esophagus::Benign_Precursor::Dysplasia_High_Grade,54,rejected,who,
CYTO_PANCREAS::High_Risk::Pancreatic_IPMN_High_Grade,Cyto_Adrenal::Benign::Adrenal_Cortical_Adenoma,53,rejected,who,
CYTO_PANCREAS::High_Risk::Pancreatic_Intraepithelial_Neoplasia_High_Grade,Cyto_GYN::Squamous::Anal_Intraepithelial_Neoplasia_High_Grade_HSIL,71,rejected,who,
CYTO_PANCREAS::Low_Risk::Biliary_IPN_Low_Grade,Cyto_Breast::Inflammatory::Silicone_Granuloma,53,rejected,who,
CYTO_PANCREAS::Low_Risk::Biliary_Intraepithelial_Neoplasia_Low_Grade,Cyto_GYN::Squamous::Anal_Intraepithelial_Neoplasia_Low_Grade_LSIL,69,rejected,who,
CYTO_PANCREAS::Low_Risk::Mucinous_Cystic_Neoplasm_Low_Grade,Cyto_Adrenal::Malignant::Hematopoietic_Neoplasm_Adrenal,56,rejected,who,
CYTO_PANCREAS::Low_Risk::Other_Lesions_Spindle_Cell,Cyto_Breast::Malignant::Carcinoma::Metaplastic_Carcinoma_Spindle_Cell,55,rejected,who,
CYTO_PANCREAS::Low_Risk::Pancreatic_IPMN_Low_Grade,Cyto_Adrenal::Benign::Adrenal_Cortical_Adenoma,52,rejected,who,
CYTO_PANCREAS::Low_Risk::Pancreatic_Intraepithelial_Neoplasia_Low_Grade,Cyto_GYN::Squamous::Anal_Intraepithelial_Neoplasia_Low_Grade_LSIL,71,rejected,who,
CYTO_PANCREAS::Malignant::Cholangiocarcinoma,Cyto_Breast::Malignant::Sarcoma::Angiosarcoma,79,rejected,who,
CYTO_PANCREAS::Malignant::Metastases_To_Pancreas,Cyto_Adrenal::Malignant::Metastasis_To_Adrenal,83,review,who,
CYTO_PANCREAS::Malignant::Neuroendocrine_Carcinoma,Cyto_Breast::Malignant::Carcinoma::Neuroendocrine_Carcinoma,84,review,who,
CYTO_PANCREAS::Malignant::Neuroendocrine_Tumour,Cyto_GI_Tract::Small_Intestine::Malignant::Neuroendocrine_Tumor,76,rejected,who,
CYTO_PANCREAS::Malignant::Other_Lesions_Spindle_Cell,Cyto_Bone::Malignant::Osteosarcoma_Small_Cell,68,rejected,who,
CYTO_PANCREAS::Malignant::Pancreatic_Acinar_Cell_Carcinoma,Cyto_Adrenal::Malignant::Adrenal_Cortical_Carcinoma,75,rejected,who,
CYTO_PANCREAS::Malignant::Pancreatic_Ductal_Adenocarcinoma,Cyto_Adrenal::Malignant::Adrenal_Cortical_Carcinoma,75,rejected,who,
CYTO_PANCREAS::Malignant::Pancreatic_Lymphomas,Cyto_Derm::Malignant::Cutaneous_Lymphoma,72,rejected,who,
CYTO_PANCREAS::Malignant::Pancreatoblastoma,Cyto_Adrenal::Malignant::Neuroblastoma,81,review,who,
CYTO_PANCREAS::Malignant::Solid_Pseudopapillary_Neoplasm,Cyto_Breast::Malignant::Carcinoma::Micropapillary_Carcinoma,66,rejected,who,
CYTO_PANCRERAS::Atypical::Atypical_Category_Definition_And_Criteria,Cyto_Breast::Atypical::Atypical_Ductal_Hyperplasia_ADH,63,rejected,who,
CYTO_PANCRERAS::Benign::Benign_Category_Definition_And_Criteria,Cyto_Bone::Benign::Osteomyelitis_Acute,59,rejected,who,
CYTO_PANCRERAS::High_Grade_Neoplsm::High_Grade_Neoplsm_Category_Definition_And_Criteria,Cyto_Breast::Benign::Neoplasm::Fibroadenoma_Giant,49,rejected,who,
CYTO_PANCRERAS::Insufficient::Insufficient_Category_Definition_And_Criteria,Cyto_Breast::Inflammatory::Radiation_Changes,50,rejected,who,
CYTO_PANCRERAS::Low_Grade_Neoplsm::Low_Grade_Neoplsm_Category_Definition_And_Criteria,Cyto_Breast::Benign::Neoplasm::Inflammatory_Myofibroblastic_Tumor,48,rejected,who,
CYTO_PANCRERAS::Malignant::Malignant_Category_Definition_And_Criteria,Cyto_Derm::Malignant::Malignant_Melanoma_Skin,61,rejected,who,
CYTO_PANCRERAS::Suspicious::Suspicious_Category_Definition_And_Criteria,Cyto_Adrenal::Category::Suspicious_For_Malignancy,57,rejected,who,
Cyto_Heme::Atypical::Atypical_Category_Definition_And_Criteria,Cyto_Breast::Atypical::Atypical_Ductal_Hyperplasia_ADH,60,rejected,who,
Cyto_Heme::Benign::Benign_Category_Definition_And_Criteria,Cyto_Bone::Benign::Osteomyelitis_Acute,60,rejected,who,
Cyto_Heme::Benign::Inflammatory::Acute_Inflammation,Cyto_Fluids::Benign_Reactive::Inflammatory::Granulomatous_Inflammation,74,rejected,who,
Cyto_Heme::Benign::Inflammatory::Granulomatous_Inflammation,Cyto_Fluids::Benign_Reactive::Inflammatory::Granulomatous_Inflammation,85,review,who,
Cyto_Heme::Benign::Reactive::Immunoblastic_Reactions,Cyto_GYN::Benign_Reactive::Non_Neoplastic::Radiation_Changes,68,rejected,who,
Cyto_Heme::Benign::Reactive::Prominent_Histiocytosis,Cyto_GYN::Benign_Reactive::Organisms::Entamoeba_Histolytica,67,rejected,who,
Cyto_Heme::Benign::Reactive::Prominent_Necrosis,Cyto_Derm::Benign::Fat_Necrosis,72,rejected,who,
Cyto_Heme::Benign::Reactive::Prominent_Plasmacytosis,Cyto_GYN::Benign_Reactive::Non_Neoplastic::Endometriosis,67,rejected,who,
Cyto_Heme::Benign::Splenic::Vascular_Lesions,Cyto_Derm::Benign::Nodular_Fasciitis,65,rejected,who,
Cyto_Heme::Insufficient::Insufficient_Category_Definition_And_Criteria,Cyto_Breast::Inflammatory::Radiation_Changes,49,rejected,who,
Cyto_Heme::Malignant::Histiocytic::Follicular_Dendritic_Cell_Sarcoma,Cyto_Fluids::Malignant::Metastatic::Renal_Cell_Carcinoma,65,rejected,who,
Cyto_Heme::Malignant::Histiocytic::Histiocytic_Sarcoma,Cyto_Breast::Malignant::Heme::Granulocytic_Sarcoma,69,rejected,who,
Cyto_Heme::Malignant::Histiocytic::Interdigitating_Dendritic_Cell_Sarcoma,Cyto_Fluids::Malignant::Metastatic::Renal_Cell_Carcinoma,62,rejected,who,
Cyto_Heme::Malignant::Histiocytic::Langerhans_Cell_Histiocytosis,Cyto_GYN::Benign_Reactive::Non_Neoplastic::Langerhans_Cell_Histiocytosis,66,rejected,who,
Cyto_Heme::Malignant::Hodgkin::Classic_Hodgkin_Lymphoma,Cyto_Derm::Malignant::Cutaneous_Lymphoma,65,rejected,who,
Cyto_Heme::Malignant::Hodgkin::Lymphomatoid_Granulomatosis,Cyto_Adrenal::Malignant::Lymphoma_Adrenal,63,rejected,who,
Cyto_Heme::Malignant::Hodgkin::Nodular_Lymphocyte_Predominant_HL,Cyto_Breast::Malignant::Heme::Granulocytic_Sarcoma,60,rejected,who,
Cyto_Heme::Malignant::Hodgkin::T_Cell_Histiocyte_Rich_Large_B_Cell_Lymphoma,Cyto_Breast::Malignant::Heme::Anaplastic_Large_Cell_Lymphoma_BIA,68,rejected,who,
Cyto_Heme::Malignant::Large::Anaplastic_Large_Cell_Lymphoma,Cyto_Breast::Malignant::Heme::Anaplastic_Large_Cell_Lymphoma_BIA,85,review,who,
Cyto_Heme::Malignant::Large::Breast_Implant_Associated_ALCL,Cyto_Derm::Malignant::Dedifferentiated_Liposarcoma,61,rejected,who,
Cyto_Heme::Malignant::Large::Burkitt_Lymphoma,Cyto_Derm::Malignant::Cutaneous_Lymphoma,75,rejected,who,
Cyto_Heme::Malignant::Large::Large_B_Cell_Lymphomas,Cyto_Derm::Malignant::Cutaneous_Lymphoma,68,rejected,who,
Cyto_Heme::Malignant::Large::Lymphoblastic_Lymphoma,Cyto_Derm::Malignant::Cutaneous_Lymphoma,73,rejected,who,
Cyto_Heme::Malignant::Large::Myeloid_Sarcoma,Cyto_Derm::Malignant::Leiomyosarcoma,80,review,who,
Cyto_Heme::Malignant::Large::Peripheral_T_Cell_Lymphoma_NOS,Cyto_Derm::Malignant::Merkel_Cell_Carcinoma,65,rejected,who,
Cyto_Heme::Malignant::Large::Primary_Effusion_Lymphoma,Cyto_Fluids::Malignant::Heme::Primary_Effusion_Lymphoma_PEL,81,review,who,
Cyto_Heme::Malignant::Malignant_Category_Definition_And_Criteria,Cyto_Derm::Malignant::Malignant_Melanoma_Skin,64,rejected,who,
Cyto_Heme::Malignant::Metastases_From_Carcinomas,Cyto_Derm::Malignant::Metastatic_Carcinoma_to_Skin,78,rejected,who,
Cyto_Heme::Malignant::Metastases_From_Melanoma,Cyto_Adrenal::Malignant::Metastasis_To_Adrenal_Melanoma,77,rejected,who,
Cyto_Heme::Malignant::Metastases_From_Sarcomas,Cyto_Derm::Malignant::Kaposi_Sarcoma,73,rejected,who,
Cyto_Heme::Malignant::Mixed::Follicular_Lymphoma,Cyto_Derm::Malignant::Cutaneous_Lymphoma,73,rejected,who,
Cyto_Heme::Malignant::Mixed::Marginal_Zone_Lymphoma,Cyto_Derm::Malignant::Cutaneous_Lymphoma,70,rejected,who,
Cyto_Heme::Malignant::Mixed::Nodal_T_Follicular_Helper_Cell_Lymphoma,Cyto_Breast::Malignant::Heme::Anaplastic_Large_Cell_Lymphoma_BIA,71,rejected,who,
Cyto_Heme::Malignant::Small::CLL_SLL,Cyto_Derm::Malignant::Basal_Cell_Carcinoma,69,rejected,who,
Cyto_Heme::Malignant::Small::Lymphoplasmacytic_Lymphoma,Cyto_Breast::Malignant::Heme::Plasmacytoma,70,rejected,who,
Cyto_Heme::Malignant::Small::Mantle_Cell_Lymphoma,Cyto_Breast::Malignant::Heme::Anaplastic_Large_Cell_Lymphoma_BIA,73,rejected,who,
Cyto_Heme::Malignant::Small::Mastocytosis,Cyto_Derm::Malignant::Kaposi_Sarcoma,65,rejected,who,
Cyto_Heme::Malignant::Small::Plasma_Cell_Neoplasms,Cyto_Derm::Malignant::Basal_Cell_Carcinoma,70,rejected,who,
Cyto_Heme::Malignant::Splenic::Hepatosplenic_T_Cell_Lymphoma,Cyto_Breast::Malignant::Heme::Anaplastic_Large_Cell_Lymphoma_BIA,65,rejected,who,
Cyto_Heme::Malignant::Splenic::Splenic_B_Cell_Lymphoma,Cyto_Breast::Malignant::Heme::Anaplastic_Large_Cell_Lymphoma_BIA,66,rejected,who,
Cyto_Heme::Malignant::Splenic_Angiosarcoma,Cyto_Derm::Malignant::Angiosarcoma,84,review,who,
Cyto_Heme::Malignant::Thymic::Thymic_B_Cell_Lymphomas,Cyto_Breast::Malignant::Heme::Anaplastic_Large_Cell_Lymphoma_BIA,70,rejected,who,
Cyto_Heme::Malignant::Thymic::Thymic_Carcinomas,Cyto_Derm::Malignant::Metastatic_Carcinoma_to_Skin,72,rejected,who,
Cyto_Heme::Malignant::Thymic::Thymomas,Cyto_Fluids::Malignant::Metastatic::Thymoma,74,rejected,who,
Cyto_Heme::Suspicious::Suspicious_Category_Definition_And_Criteria,Cyto_Adrenal::Category::Suspicious_For_Malignancy,54,rejected,who,
Cyto_Lung::Atypical::Atypical_Category_Definition_And_Criteria,Cyto_Breast::Atypical::Atypical_Ductal_Hyperplasia_ADH,59,rejected,who,
Cyto_Lung::Benign::Benign_Category_Definition_And_Criteria,Cyto_Bone::Benign::Osteomyelitis_Acute,60,rejected,who,
Cyto_Lung::Benign::Inflammatory::Acute_Inflammation_And_Suppuration,Cyto_Fluids::Benign_Reactive::Inflammatory::Granulomatous_Inflammation,69,rejected,who,
Cyto_Lung::Benign::Inflammatory::Granulomatous_Disorders,Cyto_Fluids::Benign_Reactive::Inflammatory::Granulomatous_Inflammation,75,rejected,who,
Cyto_Lung::Benign::Inflammatory::Histiocytic_Lymphocytic_Eosinophilic_Patterns,Cyto_Fluids::Benign_Reactive::Inflammatory::Eosinophilic_Effusion,64,rejected,who,
Cyto_Lung::Benign::Inflammatory::Reactive_Changes_Glandular_Squamous,Cyto_Breast::Inflammatory::Mastitis_Granulomatous,63,rejected,who,
Cyto_Lung::Benign::Neoplastic::Ectopic_Thyroid_Parathyroid,Cyto_GYN::Benign_Reactive::Non_Neoplastic::Keratotic_Changes_Parakeratosis,65,rejected,who,
Cyto_Lung::Benign::Neoplastic::Granular_Cell_Tumour,Cyto_Breast::Benign::Neoplasm::Granular_Cell_Tumor,85,review,who,
Cyto_Lung::Benign::Neoplastic::Meningiomas,Cyto_Breast::Benign::Non_Neoplastic::Seroma,73,rejected,who,
Cyto_Lung::Benign::Neoplastic::PEComa,Cyto_Breast::Benign::Non_Neoplastic::Seroma,78,rejected,who,
Cyto_Lung::Benign::Neoplastic::Pulmonary_Hamartoma,Cyto_Breast::Benign::Neoplasm::Hamartoma,73,rejected,who,
Cyto_Lung::Benign::Neoplastic::Salivary_Gland_Neoplasms,Cyto_Breast::Benign::Non_Neoplastic::Microglandular_Adenosis,66,rejected,who,
Cyto_Lung::Benign::Neoplastic::Sclerosing_Pneumocytoma,Cyto_Breast::Benign::Non_Neoplastic::Sclerosing_Adenosis,73,rejected,who,
Cyto_Lung::Benign::Neoplastic::Solitary_Tracheobronchial_Papilloma,Cyto_Breast::Benign::Neoplasm::Intraductal_Papilloma,69,rejected,who,
Cyto_Lung::Benign::Neoplastic::Spindle_Cell_Tumours,Cyto_Breast::Benign::Neoplasm::Granular_Cell_Tumor,73,rejected,who,
Cyto_Lung::Insufficient::Insufficient_Category_Definition_And_Criteria,Cyto_Bone::Benign::Osteomyelitis_Acute,48,rejected,who,
Cyto_Lung::Malignant::Carcinoma::Adenosquamous_Carcinoma,Cyto_GYN::Glandular::Carcinoma::Adenosquamous_Carcinoma,85,review,who,
Cyto_Lung::Malignant::Carcinoma::Carcinosarcoma,Cyto_Fluids::Malignant::Sarcoma::Angiosarcoma,83,review,who,
Cyto_Lung::Malignant::Carcinoma::NUT_Carcinoma,Cyto_Breast::Malignant::Carcinoma::Tubular_Carcinoma,82,review,who,
Cyto_Lung::Malignant::Carcinoma::Pleomorphic_Carcinoma,Cyto_Breast::Malignant::Carcinoma::Lipid_Rich_Carcinoma,79,rejected,who,
Cyto_Lung::Malignant::Carcinoma::Pulmonary_Blastoma,Cyto_Breast::Malignant::Carcinoma::Medullary_Carcinoma,74,rejected,who,
Cyto_Lung::Malignant::Carcinoma::Salivary_Gland_Type_Carcinomas,Cyto_Breast::Malignant::Carcinoma::Apocrine_Carcinoma,74,rejected,who,
Cyto_Lung::Malignant::Carcinoma::Thoracic_SMARCA4_Deficient_Undifferentiated_Tumour,Cyto_Bone::Malignant::Chondrosarcoma_Dedifferentiated,63,rejected,who,
Cyto_Lung::Malignant::Lymphoid::Erdheim_Chester_Disease,Cyto_Derm::Malignant::Paget_Disease_Skin,61,rejected,who,
Cyto_Lung::Malignant::Lymphoid::Lymphomas,Cyto_Bone::Malignant::Lymphoma_Bone,71,rejected,who,
Cyto_Lung::Malignant::Lymphoid::Pulmonary_Langerhans_Cell_Histiocytosis,Cyto_GYN::Benign_Reactive::Non_Neoplastic::Langerhans_Cell_Histiocytosis,67,rejected,who,
Cyto_Lung::Malignant::Malignant_Category_Definition_And_Criteria,Cyto_Derm::Malignant::Malignant_Melanoma_Skin,61,rejected,who,
Cyto_Lung::Malignant::NSCC::Adenocarcinoma_Of_The_Lung,Cyto_Fluids::Malignant::Metastatic::Adenocarcinoma_Lung,79,rejected,who,
Cyto_Lung::Malignant::NSCC::Non_Small_Cell_Carcinoma_NOS,Cyto_Fluids::Malignant::Metastatic::Small_Cell_Carcinoma_Lung,79,rejected,who,
Cyto_Lung::Malignant::NSCC::Squamous_Cell_Carcinoma,Cyto_Derm::Malignant::Squamous_Cell_Carcinoma,85,review,who,
Cyto_Lung::Malignant::Neuroendocrine::Carcinoid_Neuroendocrine_Tumours,Cyto_GI_Tract::Stomach::Malignant::Neuroendocrine_Carcinoma,64,rejected,who,
Cyto_Lung::Malignant::Neuroendocrine::Large_Cell_Neuroendocrine_Carcinoma,Cyto_GYN::Malignant_Other::Small_Cell_Neuroendocrine_Carcinoma,74,rejected,who,
Cyto_Lung::Malignant::Neuroendocrine::Small_Cell_Lung_Carcinoma,Cyto_Fluids::Malignant::Metastatic::Small_Cell_Carcinoma_Lung,71,rejected,who,
Cyto_Lung::Malignant::Other::Diffuse_Pleural_Mesothelioma,Cyto_GYN::Malignant_Other::Malignant_Melanoma,65,rejected,who,
Cyto_Lung::Malignant::Other::Paraganglioma,Cyto_GYN::Malignant_Other::Malignant_Melanoma,74,rejected,who,
Cyto_Lung::Malignant::Other::Primary_Germ_Cell_Tumours_Mediastinum,Cyto_Fluids::Malignant::Ovarian_Primary::Clear_Cell_Carcinoma,65,rejected,who,
Cyto_Lung::Malignant::Other::Pulmonary_And_Thoracic_Metastases,Cyto_GYN::Malignant_Other::Malignant_Melanoma,64,rejected,who,
Cyto_Lung::Malignant::Other::Spindle_Cell_Tumours_Malignant,Cyto_GYN::Malignant_Other::Metastatic_Tumor_Fallopian_Tube,68,rejected,who,
Cyto_Lung::Suspicious::Suspicious_Category_Definition_And_Criteria,Cyto_Fluids::Category::Suspicious_For_Malignancy,56,rejected,who,
Cyto_SoftTissue::Benign::Adipocytic::Hibernoma,Cyto_Derm::Benign::Hibernoma,68,rejected,who,
Cyto_SoftTissue::Benign::Adipocytic::Lipoma,Cyto_Breast::Benign::Neoplasm::Lipoma,65,rejected,who,
Cyto_SoftTissue::Benign::Adipocytic::Spindle_Cell_Pleomorphic_Lipoma,Cyto_Derm::Benign::Spindle_Cell_Pleomorphic_Lipoma,80,review,who,
Cyto_SoftTissue::Benign::Benign_Category_Definition_And_Criteria,Cyto_Bone::Benign::Osteomyelitis_Acute,59,rejected,who,
Cyto_SoftTissue::Benign::Chondro_Osseous::Myositis_Ossificans,Cyto_Bone::Benign::Chondromyxoid_Fibroma,63,rejected,who,
Cyto_SoftTissue::Benign::Chondro_Osseous::Soft_Tissue_Chondroma,Cyto_Bone::Benign::Chondroblastoma,60,rejected,who,
Cyto_SoftTissue::Benign::Epithelioid::Glomus_Tumour,Cyto_Derm::Benign::Glomus_Tumor,68,rejected,who,
Cyto_SoftTissue::Benign::Epithelioid::Granular_Cell_Tumour,Cyto_Breast::Benign::Neoplasm::Granular_Cell_Tumor,76,rejected,who,
Cyto_SoftTissue::Benign::Epithelioid::Rhabdomyoma,Cyto_Bone::Benign::Enchondroma,63,rejected,who,
Cyto_SoftTissue::Benign::Epithelioid::Tenosynovial_Giant_Cell_Tumour,Cyto_Bone::Benign::Giant_Cell_Tumor_Bone,61,rejected,who,
Cyto_SoftTissue::Benign::Mass_Forming_Inflammatory::Acute_Inflammation,Cyto_Fluids::Benign_Reactive::Inflammatory::Granulomatous_Inflammation,66,rejected,who,
Cyto_SoftTissue::Benign::Mass_Forming_Inflammatory::Fat_Necrosis,Cyto_Breast::Inflammatory::Fat_Necrosis,68,rejected,who,
Cyto_SoftTissue::Benign::Mass_Forming_Inflammatory::Granulomatous_Suppurative_Inflammation,Cyto_Fluids::Benign_Reactive::Inflammatory::Granulomatous_Inflammation,70,rejected,who,
Cyto_SoftTissue::Benign::Mass_Forming_Inflammatory::IgG4_Related_Disease,Cyto_Fluids::Benign_Reactive::Inflammatory::Rheumatoid_Pleuritis,56,rejected,who,
Cyto_SoftTissue::Benign::Mass_Forming_Inflammatory::Ischaemic_Fasciitis,Cyto_Breast::Benign::Neoplasm::Inflammatory_Myofibroblastic_Tumor,56,rejected,who,
Cyto_SoftTissue::Benign::Myxoid_Stroma::Ganglion_Cyst,Cyto_Derm::Benign::Ganglion_Cyst,68,rejected,who,
Cyto_SoftTissue::Benign::Myxoid_Stroma::Intramuscular_Juxta_Articular_Myxoma,Cyto_Breast::Benign::Neoplasm::Intraductal_Papilloma,56,rejected,who,
Cyto_SoftTissue::Benign::Spindle_Cell::Elastofibroma,Cyto_Derm::Benign::Spindle_Cell_Pleomorphic_Lipoma,67,rejected,who,
Cyto_SoftTissue::Benign::Spindle_Cell::Fibromatosis,Cyto_Breast::Benign::Neoplasm::Fibromatosis,68,rejected,who,
Cyto_SoftTissue::Benign::Spindle_Cell::Haemangiomas,Cyto_Derm::Benign::Hemangioma,65,rejected,who,
Cyto_SoftTissue::Benign::Spindle_Cell::Leiomyoma,Cyto_Derm::Benign::Spindle_Cell_Pleomorphic_Lipoma,71,rejected,who,
Cyto_SoftTissue::Benign::Spindle_Cell::Myofibroblastoma,Cyto_Breast::Benign::Neoplasm::Myofibroblastoma,71,rejected,who,
Cyto_SoftTissue::Benign::Spindle_Cell::Neurofibroma,Cyto_Derm::Benign::Neurofibroma,68,rejected,who,
Cyto_SoftTissue::Benign::Spindle_Cell::Nodular_Fasciitis,Cyto_Derm::Benign::Nodular_Fasciitis,72,rejected,who,
Cyto_SoftTissue::Benign::Spindle_Cell::Perineurioma,Cyto_Derm::Benign::Spindle_Cell_Pleomorphic_Lipoma,71,rejected,who,
Cyto_SoftTissue::Benign::Spindle_Cell::Schwannoma,Cyto_Derm::Benign::Schwannoma,67,rejected,who,
Cyto_SoftTissue::Malignant::Adipocytic::Dedifferentiated_Liposarcoma,Cyto_Derm::Malignant::Dedifferentiated_Liposarcoma,80,review,who,
Cyto_SoftTissue::Malignant::Adipocytic::Pleomorphic_Liposarcoma,Cyto_Derm::Malignant::Pleomorphic_Liposarcoma,78,rejected,who,
Cyto_SoftTissue::Malignant::Epithelioid::Alveolar_Soft_Part_Sarcoma,Cyto_Fluids::Malignant::Mesothelioma::Mesothelioma_Sarcomatoid,64,rejected,who,
Cyto_SoftTissue::Malignant::Epithelioid::Clear_Cell_Sarcoma_Of_Soft_Tissue,Cyto_Breast::Malignant::Carcinoma::Lobular_Carcinoma_In_Situ_LCIS,60,rejected,who,
Cyto_SoftTissue::Malignant::Epithelioid::Epithelioid_Haemangioendothelioma,Cyto_Fluids::Malignant::Sarcoma::Epithelioid_Hemangioendothelioma,78,rejected,who,
Cyto_SoftTissue::Malignant::Epithelioid::Epithelioid_Sarcoma,Cyto_Fluids::Malignant::Mesothelioma::Mesothelioma_Sarcomatoid,70,rejected,who,
Cyto_SoftTissue::Malignant::Epithelioid::Extrarenal_Rhabdoid_Tumour,Cyto_Fluids::Malignant::Sarcoma::Epithelioid_Hemangioendothelioma,58,rejected,who,
Cyto_SoftTissue::Malignant::Malignant_Category_Definition_And_Criteria,Cyto_Derm::Malignant::Malignant_Melanoma_Skin,59,rejected,who,
Cyto_SoftTissue::Malignant::Metastatic::Soft_Tissue_Metastases,Cyto_Breast::Malignant::Metastatic::Metastatic_Tumor_To_Breast,65,rejected,who,
