source,record_id,tag,pattern,title,path
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000017,Cyto_Thyroid::Lectures::ASC_Cyto_Thyroid_Rossi::Benign_Cystic_Neck_Mass_Case_01,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000018,Cyto_Thyroid::Lectures::ASC_Cyto_Thyroid_Rossi::NIS_Elements_F_Current_user_zmaleki1_Live_Fast,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000019,Cyto_Thyroid::Lectures::ASC_Cyto_Thyroid_Rossi::NIS_Elements_F_Current_user_zmaleki1_Live_Fast,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000023,BST::Lectures::BST_Lecture_1_Grossing::Session_Commencement,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000024,BST::Lectures::BST_Lecture_1_Grossing::Grossing_Bone_and_Soft_Tissue_Specimens_Outline,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000025,BST::Lectures::BST_Lecture_1_Grossing::Effective_Grossing_Practices,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000026,BST::Lectures::BST_Lecture_1_Grossing::Special_Processing_Methods,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000027,BST::Lectures::BST_Lecture_1_Grossing::Karyotyping_for_Soft_Tissue_and_Bone_Tumors_Current_Indications,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000028,BST::Lectures::BST_Lecture_1_Grossing::Karyotype_Chromosome_Analysis_Processing,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000029,BST::Lectures::BST_Lecture_1_Grossing::Flow_Cytometry_Special_Processing_and_Requirements,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000030,BST::Lectures::BST_Lecture_1_Grossing::Flow_Cytometry_Special_Processing,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000031,BST::Lectures::BST_Lecture_1_Grossing::Special_Processing_RNA_Tests_RT_PCR,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000032,BST::Lectures::BST_Lecture_1_Grossing::Special_Processing_for_DNA_Based_Tests_FISH_PCR_NGS_Methylation,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000033,BST::Lectures::BST_Lecture_1_Grossing::Soft_Tissue_Specimen_Types,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000034,BST::Lectures::BST_Lecture_1_Grossing::Special_Processing_for_DNA_Based_Tests_FISH_PCR_NGS_Methylation,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000035,BST::Lectures::BST_Lecture_1_Grossing::Karyotype_Special_Processing,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000036,BST::Lectures::BST_Lecture_1_Grossing::Karyotyping_for_Soft_Tissue_and_Bone_Tumors,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000037,BST::Lectures::BST_Lecture_1_Grossing::Flow_Cytometry_Special_Processing_and_Considerations,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000038,BST::Lectures::BST_Lecture_1_Grossing::Special_Processing_Flow_Cytometry,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000039,BST::Lectures::BST_Lecture_1_Grossing::Special_Processing_for_RNA_Tests_RT_PCR,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000040,BST::Lectures::BST_Lecture_1_Grossing::Soft_Tissue_Specimen_Types,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000041,BST::Lectures::BST_Lecture_1_Grossing::Core_and_Incisional_Biopsy_Procedures,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000042,BST::Lectures::BST_Lecture_1_Grossing::Grossing_Core_and_Incisional_Biopsies,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000043,BST::Lectures::BST_Lecture_1_Grossing::Marginal_vs_Wide_Excision,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000044,BST::Lectures::BST_Lecture_1_Grossing::Specimen_Processing_Marginal_or_Wide_Excision,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
lectures,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000045,BST::Lectures::BST_Lecture_1_Grossing::Inking_and_Sectioning_of_Unoriented_Tissue_Specimens,::Lectures::,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
