root,source,tag,record_id,title,path
GU::Prostate,abpath,GU::Prostate::Additional_Topics::Immunohistochemistry,Immunohistochemistry,Immunohistochemistry,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GU::Prostate,abpath,GU::Prostate::Additional_Topics::Lymph_Node_Metastasis,Lymph_Node_Metastasis,Lymph_Node_Metastasis,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GU::Prostate,abpath,GU::Prostate::Additional_Topics::Margins,Margins,Margins,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GU::Prostate,abpath,GU::Prostate::Additional_Topics::Tumor_Volume_Estimation,Tumor_Volume_Estimation,Tumor_Volume_Estimation,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GU::Prostate,abpath,GU::Prostate::Basal_Cell_Neoplasms::Basal_Cell_Carcinoma,Basal_Cell_Carcinoma,Basal_Cell_Carcinoma,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GU::Prostate,abpath,GU::Prostate::Benign::Adenosis,Adenosis,Adenosis,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GU::Prostate,abpath,GU::Prostate::Benign::Atrophy,Atrophy,Atrophy,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GU::Prostate,abpath,GU::Prostate::Benign::Basal_Cell_Hyperplasia,Basal_Cell_Hyperplasia,Basal_Cell_Hyperplasia,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GU::Prostate,abpath,GU::Prostate::Benign::Clear_Cell_Cribriform_Hyperplasia,Clear_Cell_Cribriform_Hyperplasia,Clear_Cell_Cribriform_Hyperplasia,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GU::Prostate,abpath,GU::Prostate::Benign::Hyperplasia,Hyperplasia,Hyperplasia,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GU::Prostate,abpath,GU::Prostate::Benign::Large_&_Cribriform_Gland_Patterns,Large_&_Cribriform_Gland_Patterns,Large_&_Cribriform_Gland_Patterns,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GU::Prostate,abpath,GU::Prostate::Benign::Nonglandular_Patterns,Nonglandular_Patterns,Nonglandular_Patterns,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GU::Prostate,abpath,GU::Prostate::Benign::Normal_Prostate,Normal_Prostate,Normal_Prostate,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GU::Prostate,abpath,GU::Prostate::Benign::Post_Atrophic_Hyperplasia,Post_Atrophic_Hyperplasia,Post_Atrophic_Hyperplasia,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GU::Prostate,abpath,GU::Prostate::Benign::Prostatic_Type_Polyp_Ectopic,Prostatic_Type_Polyp_Ectopic,Prostatic_Type_Polyp_Ectopic,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GU::Prostate,abpath,GU::Prostate::Benign::Sclerosing_Adenosis,Sclerosing_Adenosis,Sclerosing_Adenosis,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GU::Prostate,abpath,GU::Prostate::Benign::Veromontanum_Hyperplasia,Veromontanum_Hyperplasia,Veromontanum_Hyperplasia,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GU::Prostate,abpath,GU::Prostate::Benign::Xanthoma,Xanthoma,Xanthoma,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GU::Prostate,abpath,GU::Prostate::Glandular_neoplasms::Foamy_Gland_Adenocarcinoma,Foamy_Gland_Adenocarcinoma,Foamy_Gland_Adenocarcinoma,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GU::Prostate,abpath,GU::Prostate::Glandular_neoplasms::High_Grade_Prostatic_Intraepithelial_Neoplasia,High_Grade_Prostatic_Intraepithelial_Neoplasia,High_Grade_Prostatic_Intraepithelial_Neoplasia,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GU::Prostate,abpath,GU::Prostate::Glandular_neoplasms::Intraductal_Carcinoma_of_the_Prostate,Intraductal_Carcinoma_of_the_Prostate,Intraductal_Carcinoma_of_the_Prostate,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GU::Prostate,abpath,GU::Prostate::Glandular_neoplasms::Mucinous_Adenocarcinoma,Mucinous_Adenocarcinoma,Mucinous_Adenocarcinoma,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GU::Prostate,abpath,GU::Prostate::Glandular_neoplasms::Prostatic_Acinar_Adenocarcinoma,Prostatic_Acinar_Adenocarcinoma,Prostatic_Acinar_Adenocarcinoma,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
Breast,abpath,Breast::Congenital_Structural::Cyst::Fibrocystic_Changes,Fibrocystic_Changes,Fibrocystic_Changes,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
Breast,abpath,Breast::Congenital_Structural::Cyst::Galactocele,Galactocele,Galactocele,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
Breast,abpath,Breast::Congenital_Structural::Cyst::Simple_Cyst,Simple_Cyst,Simple_Cyst,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
Breast,abpath,Breast::Congenital_Structural::Hamartoma::Mammary_Hamartoma,Mammary_Hamartoma,Mammary_Hamartoma,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
Breast,abpath,Breast::Congenital_Structural::Malformation::Accessory_Breast_Tissue,Accessory_Breast_Tissue,Accessory_Breast_Tissue,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
Breast,abpath,Breast::Congenital_Structural::Malformation::Gynecomastia,Gynecomastia,Gynecomastia,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
Breast,abpath,Breast::Congenital_Structural::Malformation::Juvenile_Papillomatosis,Juvenile_Papillomatosis,Juvenile_Papillomatosis,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
Breast,abpath,Breast::Congenital_Structural::Mechanical::Epithelial_Displacement_Biopsy_Site,Epithelial_Displacement_Biopsy_Site,Epithelial_Displacement_Biopsy_Site,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
Breast,abpath,Breast::Congenital_Structural::Mechanical::Implant_Pathology_NOS,Implant_Pathology_NOS,Implant_Pathology_NOS,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
Breast,abpath,Breast::Congenital_Structural::Mechanical::Mammary_Duct_Ectasia,Mammary_Duct_Ectasia,Mammary_Duct_Ectasia,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
Breast,abpath,Breast::Depositional_Metabolic::Amyloidosis,Amyloidosis,Amyloidosis,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
Breast,abpath,Breast::Epithelial::Ductal_Adenoma,Ductal_Adenoma,Ductal_Adenoma,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
Breast,abpath,Breast::Epithelial::Ductal_Carcinoma::Carcinoma_with_Apocrine_Differentiation,Carcinoma_with_Apocrine_Differentiation,Carcinoma_with_Apocrine_Differentiation,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
Breast,abpath,Breast::Epithelial::Ductal_Carcinoma::Cribriform_Carcinoma,Cribriform_Carcinoma,Cribriform_Carcinoma,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
Breast,abpath,Breast::Epithelial::Ductal_Carcinoma::Mucinous_Cystadenocarcinoma,Mucinous_Cystadenocarcinoma,Mucinous_Cystadenocarcinoma,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
Breast,abpath,Breast::Epithelial::Ductal_Carcinoma::Tubular_Carcinoma,Tubular_Carcinoma,Tubular_Carcinoma,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
Breast,abpath,Breast::Epithelial::Lactating_Adenoma,Lactating_Adenoma,Lactating_Adenoma,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
