source,tag,count
abpath,BST::Bone::Vascular::Benign::Hemangioma_Of_Bone,1
abpath,BST::Bone::Vascular::Intermediate::Epithelioid_Hemangioma_Bone,1
abpath,BST::Bone::Vascular::Malignant::Angiosarcoma_Of_Bone,1
abpath,BST::Bone::Vascular::Malignant::Epithelioid_Hemangioendothelioma_Bone,1
abpath,BST::Soft_Tissue::Adipocytic::Benign::Angiolipoma,1
abpath,BST::Soft_Tissue::Adipocytic::Benign::Hibernoma,1
abpath,BST::Soft_Tissue::Adipocytic::Benign::Lipoblastoma_Lipoblastomatosis,1
abpath,BST::Soft_Tissue::Adipocytic::Benign::Lipoma_Chondroid,1
abpath,BST::Soft_Tissue::Adipocytic::Benign::Lipoma_Conventional,1
abpath,BST::Soft_Tissue::Adipocytic::Benign::Lipoma_Intramuscular,1
abpath,BST::Soft_Tissue::Adipocytic::Benign::Lipoma_Spindle_Cell_Pleomorphic,1
abpath,BST::Soft_Tissue::Adipocytic::Benign::Lipomatosis_Diffuse,1
abpath,BST::Soft_Tissue::Adipocytic::Benign::Lipomatosis_Of_Nerve,1
abpath,BST::Soft_Tissue::Adipocytic::Benign::Myelolipoma,1
abpath,BST::Soft_Tissue::Adipocytic::Benign::Myolipoma_Of_Soft_Tissue,1
abpath,BST::Soft_Tissue::Adipocytic::Benign::Synovial_Lipomatosis,1
abpath,BST::Soft_Tissue::Adipocytic::Intermediate::Atypical_Lipomatous_Tumor_Well_Differentiated_Liposarcoma,1
abpath,BST::Soft_Tissue::Adipocytic::Intermediate::Atypical_Spindle_Cell_Pleomorphic_Lipomatous_Tumor,1
abpath,BST::Soft_Tissue::Adipocytic::Intermediate::Hemosiderotic_Fibrolipomatous_Tumor,1
abpath,BST::Soft_Tissue::Adipocytic::Malignant::Dedifferentiated_Liposarcoma,1
abpath,BST::Soft_Tissue::Adipocytic::Malignant::Myxoid_Liposarcoma,1
abpath,BST::Soft_Tissue::Adipocytic::Malignant::Myxoid_Pleomorphic_Liposarcoma,1
abpath,BST::Soft_Tissue::Adipocytic::Malignant::Pleomorphic_Liposarcoma,1
abpath,BST::Soft_Tissue::Congenital_Structural::Cyst::Aneurysmal_Bone_Cyst_Of_Soft_Tissue,1
abpath,BST::Soft_Tissue::Congenital_Structural::Cyst::Ganglion_Cyst,1
abpath,BST::Soft_Tissue::Congenital_Structural::Cyst::Peritoneal_Inclusion_Cyst,1
abpath,BST::Soft_Tissue::Congenital_Structural::Cyst::Synovial_Cyst,1
abpath,BST::Soft_Tissue::Congenital_Structural::Hamartoma::Ectopic_Meningioma_And_Meningothelial_Hamartoma,1
abpath,BST::Soft_Tissue::Congenital_Structural::Hamartoma::Fibrous_Hamartoma_Of_Infancy,1
abpath,BST::Soft_Tissue::Congenital_Structural::Hamartoma::Glial_Heterotopia,1
abpath,BST::Soft_Tissue::Congenital_Structural::Hamartoma::Neuromuscular_Choristoma,1
abpath,BST::Soft_Tissue::Congenital_Structural::Hamartoma::Smooth_Muscle_Hamartoma,1
abpath,BST::Soft_Tissue::Congenital_Structural::Malformation::Arteriovenous_Malformation,1
abpath,BST::Soft_Tissue::Congenital_Structural::Malformation::Massive_Localized_Lymphedema,1
abpath,BST::Soft_Tissue::Depositional_Metabolic::Deposition::Amyloidoma,1
abpath,BST::Soft_Tissue::Depositional_Metabolic::Deposition::Crystal_Storing_Histiocytosis,1
abpath,BST::Soft_Tissue::Depositional_Metabolic::Deposition::Tumoral_Calcinosis,1
abpath,BST::Soft_Tissue::Depositional_Metabolic::Deposition::Xanthomas,1
abpath,BST::Soft_Tissue::Depositional_Metabolic::Inflammatory::Rheumatoid_Nodule,1
abpath,BST::Soft_Tissue::Fibroblastic::Benign::Acral_Fibromyxoma,1
abpath,BST::Soft_Tissue::Fibroblastic::Benign::Angiomyofibroblastoma,1
abpath,BST::Soft_Tissue::Fibroblastic::Benign::Calcifying_Aponeurotic_Fibroma,1
abpath,BST::Soft_Tissue::Fibroblastic::Benign::Calcifying_Fibrous_Tumor,1
abpath,BST::Soft_Tissue::Fibroblastic::Benign::Cellular_Angiofibroma,1
abpath,BST::Soft_Tissue::Fibroblastic::Benign::Dermatomyofibroma,1
abpath,BST::Soft_Tissue::Fibroblastic::Benign::Desmoplastic_Fibroblastoma,1
abpath,BST::Soft_Tissue::Fibroblastic::Benign::Elastofibroma,1
abpath,BST::Soft_Tissue::Fibroblastic::Benign::Fibroma_Of_Tendon_Sheath,1
abpath,BST::Soft_Tissue::Fibroblastic::Benign::Fibromatosis_Colli,1
abpath,BST::Soft_Tissue::Fibroblastic::Benign::Gardner_Fibroma,1
abpath,BST::Soft_Tissue::Fibroblastic::Benign::Inclusion_Body_Fibromatosis,1
abpath,BST::Soft_Tissue::Fibroblastic::Benign::Juvenile_Hyaline_Fibromatosis,1
abpath,BST::Soft_Tissue::Fibroblastic::Benign::Mammary_Type_Myofibroblastoma,1
abpath,BST::Soft_Tissue::Fibroblastic::Benign::Myofibroblastoma,1
abpath,BST::Soft_Tissue::Fibroblastic::Benign::Nodular_Fasciitis,1
abpath,BST::Soft_Tissue::Fibroblastic::Benign::Nuchal_Type_Fibroma,1
abpath,BST::Soft_Tissue::Fibroblastic::Benign::Pleomorphic_Fibroma,1
abpath,BST::Soft_Tissue::Fibroblastic::Benign::Sclerotic_Fibroma,1
abpath,BST::Soft_Tissue::Fibroblastic::Intermediate::Dermatofibrosarcoma_Protuberans_Conventional,1
abpath,BST::Soft_Tissue::Fibroblastic::Intermediate::Desmoid_Type_Fibromatosis,1
abpath,BST::Soft_Tissue::Fibroblastic::Intermediate::EWSR1_SMAD3_Fibroblastic_Tumor,1
abpath,BST::Soft_Tissue::Fibroblastic::Intermediate::Giant_Cell_Fibroblastoma,1
abpath,BST::Soft_Tissue::Fibroblastic::Intermediate::Infantile_Fibrosarcoma,1
abpath,BST::Soft_Tissue::Fibroblastic::Intermediate::Inflammatory_Myofibroblastic_Tumor,1
abpath,BST::Soft_Tissue::Fibroblastic::Intermediate::Lipofibromatosis,1
abpath,BST::Soft_Tissue::Fibroblastic::Intermediate::Low_Grade_Myofibroblastic_Sarcoma,1
abpath,BST::Soft_Tissue::Fibroblastic::Intermediate::Myxoinflammatory_Fibroblastic_Sarcoma,1
abpath,BST::Soft_Tissue::Fibroblastic::Intermediate::Palmar_Plantar_Fibromatosis,1
abpath,BST::Soft_Tissue::Fibroblastic::Intermediate::Solitary_Fibrous_Tumor,1
abpath,BST::Soft_Tissue::Fibroblastic::Intermediate::Superficial_CD34_Positive_Fibroblastic_Tumor,1
abpath,BST::Soft_Tissue::Fibroblastic::Malignant::Adult_Fibrosarcoma,1
abpath,BST::Soft_Tissue::Fibroblastic::Malignant::Dermatofibrosarcoma_Protuberans_Fibrosarcomatous,1
abpath,BST::Soft_Tissue::Fibroblastic::Malignant::Epithelioid_Inflammatory_Myofibroblastic_Sarcoma,1
abpath,BST::Soft_Tissue::Fibroblastic::Malignant::Low_Grade_Fibromyxoid_Sarcoma,1
abpath,BST::Soft_Tissue::Fibroblastic::Malignant::Myxofibrosarcoma,1
abpath,BST::Soft_Tissue::Fibroblastic::Malignant::Sclerosing_Epithelioid_Fibrosarcoma,1
abpath,BST::Soft_Tissue::Fibroblastic::Malignant::Solitary_Fibrous_Tumor_Malignant,1
abpath,BST::Soft_Tissue::Fibrohistiocytic::Benign::Deep_Benign_Fibrous_Histiocytoma,1
abpath,BST::Soft_Tissue::Fibrohistiocytic::Benign::Dermatofibroma_Fibrous_Histiocytoma,1
abpath,BST::Soft_Tissue::Fibrohistiocytic::Benign::Epithelioid_Fibrous_Histiocytoma,1
abpath,BST::Soft_Tissue::Fibrohistiocytic::Benign::Plexiform_Fibrohistiocytic_Tumor,1
abpath,BST::Soft_Tissue::Fibrohistiocytic::Benign::Reticulohistiocytoma,1
abpath,BST::Soft_Tissue::Fibrohistiocytic::Benign::Solitary_Juvenile_Xanthogranuloma,1
abpath,BST::Soft_Tissue::Fibrohistiocytic::Benign::Tenosynovial_Giant_Cell_Tumor_Localized,1
abpath,BST::Soft_Tissue::Fibrohistiocytic::Intermediate::Angiomatoid_Fibrous_Histiocytoma,1
abpath,BST::Soft_Tissue::Fibrohistiocytic::Intermediate::Atypical_Fibroxanthoma,1
abpath,BST::Soft_Tissue::Fibrohistiocytic::Intermediate::Giant_Cell_Tumor_Of_Soft_Tissue,1
abpath,BST::Soft_Tissue::Fibrohistiocytic::Intermediate::Tenosynovial_Giant_Cell_Tumor_Diffuse,1
abpath,BST::Soft_Tissue::Fibrohistiocytic::Malignant::Malignant_Tenosynovial_Giant_Cell_Tumor,1
abpath,BST::Soft_Tissue::GIST_Visceral::Benign::Benign_Neural_Polyps,1
abpath,BST::Soft_Tissue::GIST_Visceral::Benign::Fibroepithelial_Stromal_Polyp,1
abpath,BST::Soft_Tissue::GIST_Visceral::Benign::Inflammatory_Fibroid_Polyp,1
abpath,BST::Soft_Tissue::GIST_Visceral::Benign::Plexiform_Fibromyxoma,1
abpath,BST::Soft_Tissue::GIST_Visceral::Intermediate::GIST_Risk_Stratified,1
abpath,BST::Soft_Tissue::GIST_Visceral::Intermediate::Gastroblastoma,1
abpath,BST::Soft_Tissue::GIST_Visceral::Malignant::Malignant_Gastrointestinal_Neuroectodermal_Tumor,1
abpath,BST::Soft_Tissue::Hematolymphoid::Benign::Extranodal_Rosai_Dorfman_Disease,1
abpath,BST::Soft_Tissue::Hematolymphoid::Benign::Langerhans_Cell_Histiocytosis,1
abpath,BST::Soft_Tissue::Hematolymphoid::Malignant::Follicular_Dendritic_Cell_Sarcoma,1
abpath,BST::Soft_Tissue::Hematolymphoid::Malignant::Histiocytic_Sarcoma,1
abpath,BST::Soft_Tissue::Hematolymphoid::Malignant::Interdigitating_Dendritic_Cell_Sarcoma,1
abpath,BST::Soft_Tissue::Hematolymphoid::Malignant::Lymphoma_Of_Soft_Tissue,1
abpath,BST::Soft_Tissue::Hematolymphoid::Malignant::Myeloid_Sarcoma,1
abpath,BST::Soft_Tissue::Hematolymphoid::Malignant::Solitary_Extramedullary_Plasmacytoma,1
abpath,BST::Soft_Tissue::Inflammatory::Acute_Chronic::Focal_Myositis,1
abpath,BST::Soft_Tissue::Inflammatory::Acute_Chronic::Idiopathic_Tumefactive_Fibroinflammatory_Lesions,1
abpath,BST::Soft_Tissue::Inflammatory::Acute_Chronic::Ischemic_Fasciitis,1
abpath,BST::Soft_Tissue::Inflammatory::Acute_Chronic::Myositis_Ossificans,1
abpath,BST::Soft_Tissue::Inflammatory::Acute_Chronic::Necrotizing_Fasciitis,1
abpath,BST::Soft_Tissue::Inflammatory::Acute_Chronic::Proliferative_Fasciitis,1
abpath,BST::Soft_Tissue::Inflammatory::Acute_Chronic::Proliferative_Myositis,1
