record_id,source,original_tag,rejection_reason,title,input_path
textbooks:tbchunk:derm_elston:derm_elston_p0333_c001,textbooks,Skin::Neoplastic::Melanocytic::Malignant::Malignant_Melanoma,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0334_c001,textbooks,Skin::Neoplastic::Melanocytic::Malignant::Malignant_Melanoma,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0337_c001,textbooks,Skin::Neoplastic::Melanocytic::Malignant::Malignant_Melanoma,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0338_c001,textbooks,Skin::Neoplastic::Melanocytic::Malignant::Malignant_Melanoma,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0347_c001,textbooks,Skin::Neoplastic::Melanocytic::Malignant::Malignant_Melanoma,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0350_c001,textbooks,Skin::Neoplastic::Melanocytic::Malignant::Malignant_Melanoma,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0351_c001,textbooks,Skin::Neoplastic::Melanocytic::Malignant::Malignant_Melanoma,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0352_c001,textbooks,Skin::Neoplastic::Melanocytic::Malignant::Malignant_Melanoma,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0370_c001,textbooks,Skin::Neoplastic::Epithelial::Malignant::Squamous_Cell_Carcinoma,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0388_c001,textbooks,Skin::Neoplastic::Epithelial::Benign::Seborrheic_Keratosis,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0390_c001,textbooks,Skin::Neoplastic::Epithelial::Benign::Seborrheic_Keratosis,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0391_c001,textbooks,Skin::Neoplastic::Epithelial::Benign::Seborrheic_Keratosis,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0392_c001,textbooks,Skin::Neoplastic::Epithelial::Benign::Seborrheic_Keratosis,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0394_c001,textbooks,Skin::Neoplastic::Epithelial::Benign::Seborrheic_Keratosis,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0403_c001,textbooks,Skin::Neoplastic::Epithelial::Benign::Seborrheic_Keratosis,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0407_c001,textbooks,Skin::Neoplastic::Epithelial::Benign::Seborrheic_Keratosis,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0408_c001,textbooks,Skin::Neoplastic::Epithelial::Benign::Seborrheic_Keratosis,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
