tag,root,record_count
GU::Testis::Infertility::Hypospermatogenesis,GU::Testis,20
GYN::Cervix::Neoplastic::Mesenchymal::Malignant::Rhabdomyosarcoma,GYN::Cervix,20
GYN::Ovary::Neoplastic::Epithelial::Malignant::Small_Cell_Carcinoma_Hypercalcemic_Type,GYN::Ovary,20
GYN::Ovary::Neoplastic::Metastatic::Metastatic_Appendiceal_Tumor,GYN::Ovary,20
GYN::Ovary::Neoplastic::Sex_Cord_Stromal::Benign::Thecoma,GYN::Ovary,20
GYN::Uterus::Neoplastic::Epithelial::Malignant::Clear_Cell_Adenocarcinoma,GYN::Uterus,20
GYN::Uterus::Neoplastic::Mixed::Benign::Adenomyoma_Endometrioid_Type,GYN::Uterus,20
GYN::Vagina::Neoplastic::Epithelial::Malignant::Squamous_Cell_Carcinoma,GYN::Vagina,20
GYN::Vulva::Infectious::Viral::Herpes_Simplex_Virus,GYN::Vulva,20
HN::Odontogenic_Maxillofacial::Giant_Cell_Lesion::Cherubism,HN,20
HN::Odontogenic_Maxillofacial::Malignant::Ameloblastic_Carcinoma,HN,20
HN::Salivary_Gland::Benign_Tumor::Sialadenoma_Papilliferum,HN,20
HN::Sinonasal::Carcinoma::Non_Keratinizing_Squamous_Cell_Carcinoma,HN,20
Heme::Mature_B_Cell::Large_B_Cell::DLBCL_High_Grade_With_MYC_And_BCL2_Rearrangements,Heme,20
Molecular::Regulations::US::FDA_Oversight,Molecular,20
Molecular::Solid::Thyroid::Medullary_Carcinoma,Molecular,20
Neuro::Tumor::Mesenchymal::Solitary_Fibrous_Tumor,Neuro,20
Skin::Congenital_Structural::Cyst::Hidrocystoma_Eccrine_Apocrine,Skin,20
Skin::Depositional_Metabolic::Metabolic::Confluent_and_Reticulated_Papillomatosis,Skin,20
Skin::Depositional_Metabolic::Mucinosis::Scleredema_of_Buschke,Skin,20
Skin::Neoplastic::Adnexal::Follicular::Dilated_Pore_Of_Winer,Skin,20
Skin::Neoplastic::Adnexal::Follicular::Fibrofolliculoma_and_Trichodiscoma,Skin,20
Skin::Neoplastic::Mast_Cell::Mastocytoma,Skin,20
Skin::Neoplastic::Soft_Tissue::Vascular::Hobnail_Hemangioma,Skin,20
Thorax_Mediastinum::Lung::Inflammatory::Interstitial::Usual_Interstitial_Pneumonia_UIP,Thorax_Mediastinum,20
BST::Bone::Reactive::Metabolic::Osteoporosis,BST,19
BST::Soft_Tissue::Fibroblastic::Benign::Desmoplastic_Fibroblastoma,BST,19
BST::Soft_Tissue::Inflammatory::Acute_Chronic::Proliferative_Fasciitis,BST,19
BST::Syndromes::Predisposition::Skeletal::Multiple_Osteochondromas,BST,19
Breast::Epithelial::Papillary_Neoplasms::Invasive_Papillary_Carcinoma,Breast,19
Cyto_Adrenal::Malignant::Pheochromocytoma,Cyto_Adrenal,19
Cyto_GYN::Squamous::Anal_Intraepithelial_Neoplasia_Low_Grade_LSIL,Cyto_GYN,19
Cyto_Heme::Malignant::Lymphoma::Hepatosplenic_T_Cell_Lymphoma,Cyto_Heme,19
Cyto_Heme::Pattern::Dispersed_Hypercellular,Cyto_Heme,19
Cyto_Mediastinum::Malignant::Germ_Cell::Seminoma,Cyto_Mediastinum,19
Cyto_Neuro::Benign_Reactive::Inflammatory::Pleocytosis_Lymphocytic,Cyto_Neuro,19
Cyto_Neuro::Malignant::Embryonal::Medulloblastoma,Cyto_Neuro,19
Cyto_Pancreatobiliary::Benign_Reactive::Lesion::Splenule_Accessory_Spleen,Cyto_Pancreatobiliary,19
Cyto_Pancreatobiliary::Pattern::Dirty_Necrotic_Background,Cyto_Pancreatobiliary,19
Cyto_Salivary::Malignant::Secretory_Carcinoma_MASC,Cyto_Salivary,19
Endo::Parathyroid::Nonneoplastic::Hyperplasia::Secondary_Parathyroid_Hyperplasia,Endo,19
GI::Appendix::Neoplastic::Mucinous::Appendiceal_High_Grade_Mucinous_Neoplasm_HAMN,GI,19
GI::Liver::Neoplastic::Cystic::Hepatic_Mucinous_Cystic_Neoplasm,GI,19
GU::Bladder::Glandular_Neoplasms::Villous_Adenoma,GU::Bladder,19
GU::Bladder::Non_Neoplastic::Cystitis_Glandularis,GU::Bladder,19
GU::Kidney::Renal_cell::Acquired_Cystic_Disease_Associated_RCC,GU::Kidney,19
GU::Prostate::Other::Prostatic_Urethral_Polyp,GU::Prostate,19
GYN::Fallopian_Tube::Normal_Histology::Metaplasia::Tubal_Metaplasias,GYN::Fallopian_Tube,19
GYN::Vulva::Neoplastic::Mesenchymal::Benign::Fibroepithelial_Stromal_Polyp,GYN::Vulva,19
Molecular::Concept::Quality::QA_QC_Controls,Molecular,19
Molecular::Infectious::Bacterial::Central_Nervous_System_Pathogens,Molecular,19
Molecular::Infectious::Viral::Human_Immunodeficiency_Virus,Molecular,19
Neuro::Inflammation::Tumefactive_Demyelination,Neuro,19
Skin::Congenital_Structural::Cyst::Steatocystoma_Multiplex_Simplex,Skin,19
Skin::Congenital_Structural::Genodermatosis::Lamellar_Ichthyosis,Skin,19
Skin::Disorders_of_Pigmentation::Dowling_Degos_Disease,Skin,19
Skin::Inflammatory::Alopecia::Pseudopelade_of_Brocq,Skin,19
Skin::Inflammatory::Drug_Eruption::Lichenoid_Drug_Eruption,Skin,19
Skin::Inflammatory::Granulomatous::Interstitial_Granulomatous_Dermatitis,Skin,19
Skin::Inflammatory::Panniculitis::Subcutaneous_Fat_Necrosis_of_Newborn,Skin,19
Skin::Inflammatory::Vasculitis::Degos_Disease_Malignant_Atrophic_Papulosis,Skin,19
Skin::Neoplastic::Melanocytic::Benign::Acral_Nevus,Skin,19
Skin::Neoplastic::Soft_Tissue::Fibroblastic::Deep_Fibromatosis_Desmoid,Skin,19
Skin::Neoplastic::Soft_Tissue::Vascular::Epithelioid_Hemangioendothelioma,Skin,19
Skin::Syndromes::Carney_Complex,Skin,19
BST::Soft_Tissue::Hematolymphoid::Malignant::Histiocytic_Sarcoma,BST,18
Breast::Inflammatory::Acute::Acute_Mastitis,Breast,18
Breast::Inflammatory::Reactive::Squamous_Metaplasia_Of_Lactiferous_Ducts,Breast,18
Breast::Neoplastic::Mesenchymal::Benign::Nodular_Fasciitis,Breast,18
Cyto_Bone::Benign::Fracture_Callus,Cyto_Bone,18
Cyto_Breast::Category::Insufficient,Cyto_Breast,18
Cyto_GI_Tract::Esophagus::Malignant::Squamous_Cell_Carcinoma,Cyto_GI_Tract,18
Cyto_Management::Ancillary_Testing::Immunocytochemistry_IHC,Cyto_Management,18
GI::Esophagus::Inflammatory::Infectious::Esophageal_Candida_Esophagitis,GI,18
GI::Small_Intestine::Infectious::Bacterial::Small_Intestinal_Whipple_Disease,GI,18
GI::Small_Intestine::Inflammatory::Malabsorption::Small_Intestinal_Tropical_Sprue,GI,18
GU::Bladder::Urothelial::Urothelial_Papilloma,GU::Bladder,18
GU::Penis::Benign::Condyloma,GU::Penis,18
GU::Prostate::Benign::Post_Atrophic_Hyperplasia,GU::Prostate,18
GYN::Cervix::Congenital_Structural::Cyst::Tunnel_Clusters,GYN::Cervix,18
GYN::Cervix::Normal_Histology::Physiologic_Change::Deciduosis,GYN::Cervix,18
GYN::Ovary::Neoplastic::Metastatic::Metastatic_Breast_Carcinoma,GYN::Ovary,18
GYN::Ovary::Neoplastic::Sex_Cord_Stromal::Benign::Leydig_Cell_Tumor,GYN::Ovary,18
GYN::Vulva::Inflammatory::Dermatosis::Lichen_Planus,GYN::Vulva,18
GYN::Vulva::Neoplastic::Mesenchymal::Malignant::Epithelioid_Sarcoma,GYN::Vulva,18
HN::Larynx_Hypopharynx_Trachea::Carcinoma::Basaloid_Squamous_Cell_Carcinoma,HN,18
HN::Odontogenic_Maxillofacial::Benign_Bone_Cartilage::Osteochondroma,HN,18
HN::Salivary_Gland::Malignant_Tumor::Sialoblastoma,HN,18
Neuro::Heme::Lymphoma::Primary_Diffuse_Large_B_Cell_Lymphoma_Of_The_CNS,Neuro,18
Skin::Congenital_Structural::Cyst::Pseudocyst_of_the_Auricle,Skin,18
Skin::Infectious::Bacterial::Pitted_Keratolysis,Skin,18
Skin::Infectious::Bacterial::Rickettsia,Skin,18
Skin::Inflammatory::Blistering::Subcorneal_Pustular_Dermatosis_Sneddon_Wilkinson,Skin,18
Skin::Inflammatory::Dermal_Sclerosing::Anetoderma,Skin,18
Skin::Inflammatory::Drug_Eruption::Fixed_Drug_Eruption,Skin,18
Skin::Inflammatory::Drug_Reactions::Chemotherapy,Skin,18
Skin::Inflammatory::Granulomatous::Actinic_Granuloma_Annular_Elastolytic,Skin,18
Skin::Inflammatory::Interface::Erythema_Dyschromicum_Perstans,Skin,18
Skin::Neoplastic::Soft_Tissue::Adipocytic::Nevus_Lipomatosus_Superficialis,Skin,18
Skin::Neoplastic::Soft_Tissue::Vascular::Retiform_Hemangioendothelioma,Skin,18
Skin::Neoplastic::Soft_Tissue::Vascular::Spindle_Cell_Hemangioma,Skin,18
Thorax_Mediastinum::Lung::Inflammatory::Immune::Hypersensitivity_Pneumonitis,Thorax_Mediastinum,18
Thorax_Mediastinum::Pleura::Neoplastic::Mesothelial::Malignant::Diffuse_Pleural_Mesothelioma,Thorax_Mediastinum,18
BST::Bone::Reactive::Joint::Gout,BST,17
BST::Soft_Tissue::Congenital_Structural::Cyst::Synovial_Cyst,BST,17
BST::Soft_Tissue::Fibroblastic::Intermediate::Superficial_CD34_Positive_Fibroblastic_Tumor,BST,17
BST::Soft_Tissue::GIST_Visceral::Malignant::Malignant_Gastrointestinal_Neuroectodermal_Tumor,BST,17
BST::Soft_Tissue::Uncertain_Diff::Malignant::Undifferentiated_Sarcoma_BCOR_Altered,BST,17
BST::Soft_Tissue::Vascular::Benign::Bacillary_Angiomatosis,BST,17
BST::Soft_Tissue::Vascular::Benign::Congenital_Hemangioma,BST,17
BST::Soft_Tissue::Vascular::Intermediate::Composite_Hemangioendothelioma,BST,17
Breast::FibroEpithelial::Hamartoma,Breast,17
Breast::Neoplastic::Epithelial::In_Situ::Papillary_Ductal_Carcinoma_In_Situ,Breast,17
Breast::Neoplastic::Fibroepithelial::Benign::Cellular_Fibroadenoma,Breast,17
Cyto_Derm::Malignant::Basal_Cell_Carcinoma,Cyto_Derm,17
Cyto_Fluids::Benign_Reactive::Specific_Conditions::Endosalpingiosis,Cyto_Fluids,17
Cyto_Fluids::Category::Nondiagnostic,Cyto_Fluids,17
Cyto_Heme::Malignant::B_Cell_Large::Plasmablastic_Lymphoma,Cyto_Heme,17
Cyto_Liver::Benign_Reactive::Mesenchymal::Hemangioma,Cyto_Liver,17
Cyto_Liver::Malignant::Mesenchymal::Angiosarcoma,Cyto_Liver,17
Cyto_Liver::Pattern::Mildly_Cellular_Small_Tissue_Fragments,Cyto_Liver,17
Cyto_Pancreatobiliary::Neoplasm_Risk::High_Grade::Pancreatic_IPMN_High_Grade,Cyto_Pancreatobiliary,17
Cyto_Soft_Tissue::Benign::Epithelioid::Epithelioid_Hemangioma,Cyto_Soft_Tissue,17
Endo::Adrenal::Neoplastic::Neuroendocrine::Malignant::Composite_Pheochromocytoma,Endo,17
GI::Colon::Polyp::Hamartoma::Juvenile_Polyp,GI,17
GU::Bladder::Neuroendocrine::Paraganglioma,GU::Bladder,17
GU::Kidney::Renal_cell::Oncocytoma_of_the_Kidney,GU::Kidney,17
GU::Penis::Squamous_Neoplasms::Squamous_Cell_Carcinoma_Usual_Type,GU::Penis,17
GU::Testis::Heme::Diffuse_Large_B_Cell_Lymphoma,GU::Testis,17
GYN::Cervix::Neoplastic::Epithelial::Benign::Mesonephric_Hyperplasia,GYN::Cervix,17
GYN::Ovary::Inflammatory::Chronic::Luteinized_Thecoma_With_Sclerosing_Peritonitis,GYN::Ovary,17
GYN::Ovary::Neoplastic::Germ_Cell::Benign::Struma_Ovarii,GYN::Ovary,17
HN::Ear_Temporal_Bone::External_Auditory_Canal::Auricular_Pseudocyst,HN,17
HN::Ear_Temporal_Bone::External_Auditory_Canal::Kimura_Disease,HN,17
HN::Heme::B_Cell::Plasmablastic_Lymphoma,HN,17
HN::Larynx_Hypopharynx_Trachea::Carcinoma::Verrucous_Carcinoma,HN,17
HN::Salivary_Gland::Non_Neoplastic::Benign_Lymphoepithelial_Lesion,HN,17
HN::Sinonasal::Other::Sinonasal_Ameloblastoma,HN,17
Heme::Histiocytic_Dendritic_Cell::Macrophage::Hemophagocytic_Lymphohistiocytosis_HLH,Heme,17
Molecular::Concept::Therapy::Gene_Transfer_Viral_Constructs,Molecular,17
Neuro::Heme::Histiocytic::Langerhans_Cell_Histiocytosis,Neuro,17
Neuro::Tumor::Metastatic::Metastases_To_The_Brain_And_Spinal_Cord_Parenchyma,Neuro,17
Neuro::Vascular::Ischemic::Cerebral_Infarction,Neuro,17
Skin::Congenital_Structural::Cyst::Cutaneous_Cyst_Overview_NOS,Skin,17
Skin::Depositional_Metabolic::Collagenous_and_Elastotic_Marginal_Plaques_of_the_Hands,Skin,17
Skin::Depositional_Metabolic::Xanthoma::Xanthogranuloma_Juvenile,Skin,17
Skin::Infectious::Parasitic::Larva_Migrans_and_Currens,Skin,17
Skin::Infectious::Viral::Milkers_Nodule,Skin,17
Skin::Inflammatory::Granulomatous::Lupus_Miliaris_Disseminatus_Faciei,Skin,17
Skin::Inflammatory::Vasculitis::Wegener_Granulomatosis_GPA,Skin,17
Skin::Neoplastic::Adnexal::Follicular::Inverted_Follicular_Keratosis,Skin,17
Skin::Neoplastic::Hematolymphoid::Anaplastic_Large_Cell_Lymphoma_Cutaneous,Skin,17
Skin::Neoplastic::Hematolymphoid::Primary_Cutaneous_CD4_Positive_Small_Medium_T_Cell_Lymphoproliferative_Disorder,Skin,17
Skin::Neoplastic::Melanocytic::Benign::Dermal_Melanocytoses_Overview,Skin,17
Skin::Neoplastic::Soft_Tissue::Fibrous::Cutaneous_Myxoma_and_Angiomyxoma,Skin,17
Skin::Neoplastic::Soft_Tissue::Fibrous::DFSP_Bednar_Tumor,Skin,17
Skin::Neoplastic::Soft_Tissue::Fibrous::Fibromatosis,Skin,17
Skin::Neoplastic::Soft_Tissue::Vascular::Tufted_Hemangioma,Skin,17
BST::Bone::Depositional_Metabolic::Deposition::Crystal_Deposition_Diseases,BST,16
BST::Soft_Tissue::Adipocytic::Intermediate::Hemosiderotic_Fibrolipomatous_Tumor,BST,16
BST::Soft_Tissue::Fibroblastic::Benign::Nuchal_Type_Fibroma,BST,16
BST::Soft_Tissue::Fibrohistiocytic::Benign::Deep_Benign_Fibrous_Histiocytoma,BST,16
BST::Soft_Tissue::Uncertain_Diff::Benign::Ectopic_Hamartomatous_Thymoma,BST,16
BST::Soft_Tissue::Vascular::Benign::Hemangioma_Venous,BST,16
Breast::Congenital_Structural::Malformation::Juvenile_Papillomatosis,Breast,16
Breast::Neoplastic::Epithelial::Benign::Microglandular_Adenosis,Breast,16
Cyto_GYN::Benign_Reactive::Non_Neoplastic::Reactive_Cellular_Changes_Repair_Atypical,Cyto_GYN,16
Cyto_GYN::Benign_Reactive::Organisms::Bacterial_Vaginosis_Shift_In_Flora,Cyto_GYN,16
Cyto_GYN::Benign_Reactive::Organisms::Herpes_Simplex_Virus_HSV,Cyto_GYN,16
Cyto_Kidney::Benign_Neoplasm::Oncocytoma,Cyto_Kidney,16
Cyto_Liver::Malignant::Biliary::Cholangiocarcinoma_Intrahepatic,Cyto_Liver,16
Cyto_Mediastinum::Malignant::Thymic_Epithelial::Thymic_Neuroendocrine_Tumor,Cyto_Mediastinum,16
Cyto_Thyroid::Malignant::Metastatic::Metastasis_To_Thyroid_Renal_Cell,Cyto_Thyroid,16
Cyto_Urinary::Malignant::Non_Urothelial::Squamous_Cell_Carcinoma,Cyto_Urinary,16
Cyto_Urinary::Specimen_Type::Ureteral_Washing,Cyto_Urinary,16
GI::Biliary::Neoplastic::Precursor::Biliary_Intraepithelial_Neoplasia_BilIN,GI,16
GI::Hematolymphoid::B_Cell_Lymphoma::Burkitt_Lymphoma,GI,16
GI::Stomach::Gastropathy::Reactive::Gastric_Reactive_Gastropathy_Chemical,GI,16
GI::Stomach::Polyp::Epithelial::Gastric_Fundic_Gland_Polyp,GI,16
GU::Kidney::Mesenchymal::Ewing_Sarcoma,GU::Kidney,16
GU::Prostate::Additional_Topics::Tumor_Volume_Estimation,GU::Prostate,16
GYN::Fallopian_Tube::Neoplastic::Epithelial::Borderline::Serous_Borderline_Tumor,GYN::Fallopian_Tube,16
GYN::Ovary::Neoplastic::Sex_Cord_Stromal::Benign::Signet_Ring_Stromal_Tumor,GYN::Ovary,16
GYN::Uterus::Neoplastic::Epithelial::Malignant::Mesonephric_Like_Carcinoma,GYN::Uterus,16
GYN::Uterus::Neoplastic::Epithelial::Malignant::Neuroendocrine_Carcinoma,GYN::Uterus,16
GYN::Vulva::Neoplastic::Melanocytic::Malignant::Malignant_Melanoma,GYN::Vulva,16
HN::Neuroendocrine_Paraganglioma::Neuroendocrine_Tumor::Neuroendocrine_Tumor_NOS,HN,16
HN::Oral_Cavity::Precursor::Squamous_Dysplasia,HN,16
HN::Salivary_Gland::Non_Neoplastic::Lymphoepithelial_Sialadenitis,HN,16
HN::Sinonasal::Hamartoma::Nasal_Chondromesenchymal_Hamartoma,HN,16
HN::Sinonasal::Mesenchymal::Chordoma,HN,16
HN::Soft_Tissue::Chondro_Osseous::Chondroma,HN,16
HN::Soft_Tissue::Fibroblastic_Myofibroblastic::Low_Grade_Myofibroblastic_Sarcoma,HN,16
Heme::Histiocytic_Dendritic_Cell::Macrophage::Rosai_Dorfman_Disease,Heme,16
Heme::Mature_B_Cell::Large_B_Cell::High_Grade_B_Cell_Lymphoma_With_11q_Aberration,Heme,16
Molecular::Solid::Thyroid::Papillary_Carcinoma,Molecular,16
Neuro::Tumor::Lesions_Of_The_Sellar_Region::Pituitary_Adenoma_Pituitary_Neuroendocrine_Tumor::Densely_Granulated_Lactotroph_Adenoma,Neuro,16
Neuro::Tumor::Mesenchymal::Hemangioblastoma,Neuro,16
Neuro::Tumor::Nerve::Neurofibroma,Neuro,16
Skin::Congenital_Structural::Cyst::Median_Raphe_Cyst,Skin,16
Skin::Congenital_Structural::Cyst::Steatocystoma,Skin,16
Skin::Depositional_Metabolic::Calcification::Scrotal_Calcinosis,Skin,16
Skin::Infectious::Viral::Cutaneous_Viral_Infection_NOS,Skin,16
Skin::Infectious::Viral::Cytomegalovirus,Skin,16
Skin::Inflammatory::Degenerative::Chondrodermatitis_Nodularis_Helicis,Skin,16
Skin::Neoplastic::Hematolymphoid::Blastic_Plasmacytoid_Dendritic_Cell_Neoplasm,Skin,16
Skin::Neoplastic::Hematolymphoid::Pseudolymphoma_Cutaneous_Lymphoid_Hyperplasia,Skin,16
Skin::Neoplastic::Soft_Tissue::Vascular::Angiokeratoma,Skin,16
Skin::Neoplastic::Soft_Tissue::Vascular::Lymphangioma_and_Superficial_Lymphangioma,Skin,16
Thorax_Mediastinum::Lung::Inflammatory::Airways::Bronchiolitis_Obliterans_Organizing_Pneumonia_BOOP,Thorax_Mediastinum,16
BST::Bone::Fibrogenic::Malignant::Fibrosarcoma_Of_Bone,BST,15
BST::Bone::Osteogenic::Malignant::Osteosarcoma_Secondary,BST,15
BST::Bone::Reactive::Inflammatory::Massive_Osteolysis_Gorham_Disease,BST,15
BST::Soft_Tissue::Nerve_Sheath::Malignant::Epithelioid_MPNST,BST,15
BST::Soft_Tissue::Uncertain_Diff::Benign::Cellular_Neurothekeoma,BST,15
BST::Soft_Tissue::Vascular::Benign::Cavernous_Hemangioma,BST,15
BST::Soft_Tissue::Vascular::Benign::Sinusoidal_Hemangioma,BST,15
BST::Soft_Tissue::Vascular::Intermediate::Papillary_Intralymphatic_Angioendothelioma,BST,15
Breast::Neoplastic::Epithelial::Malignant::Inflammatory_Carcinoma,Breast,15
Cyto_Kidney::Malignant::Renal_Cell_Carcinoma::Papillary_RCC_Type_1,Cyto_Kidney,15
Cyto_Mediastinum::Malignant::Lymphoid::Primary_Mediastinal_Large_B_Cell_Lymphoma,Cyto_Mediastinum,15
Cyto_Neuro::Eye::Malignant::Retinoblastoma,Cyto_Neuro,15
Cyto_Pancreatobiliary::Benign_Reactive::Normal::Normal_Acinar_Cells,Cyto_Pancreatobiliary,15
Cyto_Soft_Tissue::Benign::Chondro_Osseous::Myositis_Ossificans,Cyto_Soft_Tissue,15
Cyto_Urinary::Benign_Reactive::Normal::Umbrella_Cells,Cyto_Urinary,15
GI::Stomach::Gastropathy::Vascular::Gastric_Portal_Hypertensive_Gastropathy,GI,15
GU::Kidney::Renal_cell::Fumarate_Hydratase_Deficient_Renal_Cell_Carcinoma,GU::Kidney,15
GU::Penis::Squamous_Neoplasms::Verrucous_Carcinoma,GU::Penis,15
GU::Prostate::Inflammatory::Malakoplakia,GU::Prostate,15
GU::Prostate::Mesenchymal::Sarcomatoid_Carcinoma_of_Prostate,GU::Prostate,15
GU::Testis::Sex_Cord_Stromal_Tumors::Leydig_Cell_Tumor,GU::Testis,15
GYN::Cervix::Congenital_Structural::Remnant::Mesonephric_Remnants,GYN::Cervix,15
GYN::Ovary::Neoplastic::Metastatic::Metastatic_Gastric_Carcinoma,GYN::Ovary,15
GYN::Ovary::Neoplastic::Metastatic::Metastatic_Pancreaticobiliary_Adenocarcinoma,GYN::Ovary,15
GYN::Ovary::Neoplastic::Sex_Cord_Stromal::Benign::Sclerosing_Stromal_Tumor,GYN::Ovary,15
GYN::Uterus::Neoplastic::Mesenchymal::Malignant::Undifferentiated_Uterine_Sarcoma,GYN::Uterus,15
GYN::Vagina::Neoplastic::Epithelial::Benign::Mixed_Tumor,GYN::Vagina,15
GYN::Vagina::Neoplastic::Germ_Cell::Malignant::Yolk_Sac_Tumor,GYN::Vagina,15
GYN::Vulva::Inflammatory::Dermatosis::Psoriasis,GYN::Vulva,15
HN::Ear_Temporal_Bone::Middle_Inner_Ear::Branchial_Cleft_Anomaly,HN,15
HN::Heme::Histiocytic_Dendritic::Juvenile_Xanthogranuloma,HN,15
HN::Odontogenic_Maxillofacial::Benign_Mesenchymal::Cementoblastoma,HN,15
HN::Odontogenic_Maxillofacial::Bone_Cyst::Simple_Bone_Cyst,HN,15
HN::Odontogenic_Maxillofacial::Malignant::Ghost_Cell_Odontogenic_Carcinoma,HN,15
HN::Oral_Cavity::Tumor_Uncertain_Histogenesis::Ectomesenchymal_Chondromyxoid_Tumor,HN,15
Heme::Acute_Myeloid_Leukemia::Differentiation_Defined::AML_With_Maturation,Heme,15
Heme::Myeloproliferative_Neoplasm::Chronic_Eosinophilic_Leukemia,Heme,15
Heme::Plasma_Cell_Neoplasm::Monoclonal_Gammopathy::Non_IgM_MGUS,Heme,15
Molecular::Concept::Indications::Molecular_Cancer_Early_Detection_Screening,Molecular,15
Molecular::Hereditary::Growth_Factor::G_Protein_Coupled_Receptor_Pathway::Glucagon_Cell_Hyperplasia_and_Neoplasia_GCGR,Molecular,15
Molecular::Regulations::US::CAP_Accreditation,Molecular,15
Molecular::Technique::Identity::Gestational_Disease_Molar_Pregnancy,Molecular,15
Molecular::Technique::Preanalytic::Nucleic_Acid_Isolation_Quantitation,Molecular,15
Neuro::Infection::Cerebral_Malaria,Neuro,15
Neuro::Tumor::Embryonal::CNS_Embryonal_Tumor_NEC_NOS,Neuro,15
Neuro::Tumor::Notochordal::Chordoma,Neuro,15
Skin::Disorders_of_Pigmentation::Hypopigmentation::Post_Inflammatory_Hypopigmentation,Skin,15
Skin::Infectious::Viral::Gianotti_Crosti_Syndrome,Skin,15
Skin::Infectious::Viral::Hand_Foot_And_Mouth_Disease,Skin,15
Skin::Inflammatory::Adnexal::Folliculitis_Decalvans,Skin,15
Skin::Inflammatory::Drug_Eruption::Morbilliform_Drug_Reaction,Skin,15
Skin::Inflammatory::Neutrophilic::Subcorneal_Pustular_Dermatosis,Skin,15
Skin::Inflammatory::Vasculitis::Churg_Strauss_Syndrome_EGPA,Skin,15
Skin::Inflammatory::Vasculitis::Giant_Cell_Arteritis_Temporal,Skin,15
Skin::Inflammatory::Vasculitis::Gyrate_Erythema,Skin,15
Skin::Neoplastic::Hematolymphoid::Extranodal_NK_T_Cell_Lymphoma_Nasal_Type,Skin,15
Skin::Neoplastic::Melanocytic::Benign::Combined_Nevus,Skin,15
Skin::Neoplastic::Soft_Tissue::Fibrous::Epithelioid_Fibrous_Histiocytoma,Skin,15
Skin::Neoplastic::Soft_Tissue::Vascular::Arteriovenous_Malformation,Skin,15
BST::Bone::Notochordal::Malignant::Chordoma_Dedifferentiated,BST,14
BST::Soft_Tissue::Uncertain_Diff::Benign::Juxta_Articular_Myxoma,BST,14
BST::Soft_Tissue::Vascular::Benign::Spindle_Cell_Hemangioma,BST,14
Breast::Inflammatory::Granulomatous::Idiopathic_Granulomatous_Mastitis,Breast,14
Breast::Neoplastic::Epithelial::Benign::Adenomyoepithelioma,Breast,14
Breast::Neoplastic::Epithelial::In_Situ::Paget_Disease_Of_Nipple,Breast,14
Breast::Nipple_Tumors::Epithelial::Paget_Disease_of_the_Breast,Breast,14
Cyto_Breast::Benign::Non_Neoplastic::Fibrocystic_Changes_Proliferative_Without_Atypia,Cyto_Breast,14
Cyto_Breast::Nipple_Discharge::Intraductal_Papilloma,Cyto_Breast,14
Cyto_Breast::Specimen_Type::Nipple_Discharge,Cyto_Breast,14
Cyto_Derm::Malignant::Squamous_Cell_Carcinoma,Cyto_Derm,14
Cyto_Kidney::Malignant::Renal_Cell_Carcinoma::Chromophobe_RCC_Classic,Cyto_Kidney,14
Cyto_Management::Technique::Liquid_Based_Preparation_SurePath,Cyto_Management,14
Cyto_Retroperitoneum::Malignant::Sarcoma::Leiomyosarcoma,Cyto_Retroperitoneum,14
Cyto_Retroperitoneum::Pattern::Necrosis,Cyto_Retroperitoneum,14
Cyto_Soft_Tissue::Malignant::Adipocytic::Myxoid_Liposarcoma,Cyto_Soft_Tissue,14
Cyto_Soft_Tissue::Malignant::Epithelioid::Epithelioid_Angiosarcoma,Cyto_Soft_Tissue,14
Cyto_Soft_Tissue::STNUMP::Spindle_Cell::Dermatofibrosarcoma_Protuberans_DFSP,Cyto_Soft_Tissue,14
Cyto_Thoracic::Benign_Neoplasm::Granular_Cell_Tumor,Cyto_Thoracic,14
Cyto_Urinary::Infectious::Parasitic::Trichomonas_Vaginalis,Cyto_Urinary,14
GI::Stomach::Gastropathy::Hypertrophic::Gastric_Zollinger_Ellison_Syndrome,GI,14
GU::Bladder::Non_Neoplastic::Amyloidosis,GU::Bladder,14
GU::Bladder::Non_Neoplastic::Keratinizing_Squamous_Metaplasia,GU::Bladder,14
GU::Kidney::Medical_Kidney_Disease::Glomerular::Proliferative::Membranoproliferative_Glomerulonephritis,GU::Kidney,14
GU::Kidney::Neuroendocrine::Well_Differentiated_Neuroendocrine_Tumor,GU::Kidney,14
GU::Kidney::Transplant::Rejection,GU::Kidney,14
GU::Other::Histology_&_Anatomy::Histology_&_Anatomy_of_Male_Urethra,GU::Other,14
GU::Penis::Histology_&_Anatomy::Histology_&_Anatomy_of_Penis_&_Scrotum,GU::Penis,14
GU::Prostate::Glandular_neoplasms::Prostatic_Cystadenoma,GU::Prostate,14
GYN::Cervix::Normal_Histology::Metaplasia::Transitional_Cell_Metaplasia,GYN::Cervix,14
GYN::Ovary::Neoplastic::Sex_Cord_Stromal::Malignant::Juvenile_Granulosa_Cell_Tumor,GYN::Ovary,14
GYN::Uterus::Neoplastic::Mesenchymal::Malignant::Rhabdomyosarcoma,GYN::Uterus,14
GYN::Vulva::Neoplastic::Mesenchymal::Benign::Granular_Cell_Tumor,GYN::Vulva,14
HN::Odontogenic_Maxillofacial::Giant_Cell_Lesion::Peripheral_Giant_Cell_Granuloma,HN,14
HN::Oral_Cavity::Precursor::HPV_Associated_Oral_Epithelial_Dysplasia,HN,14
