slug,title,video_length,has_mp4,has_pdf,has_vtt,education_url,video_mp4_primary,slides_pdf_primary,vtt_primary,series_hint,pathology_relevant,heme_relevant
best-wholegenome-2025,Clinical Applications of Whole Genome Sequencing,38 min 36 sec,True,True,True,https://arup.utah.edu/education/best-wholegenome-2025,https://arup.utah.edu/sites/default/files/Edu_Media/videos/best-wholegenome-2025_v1.mp4,https://arup.utah.edu/sites/default/files/Edu_Media/pdfs/best-wholegenome-2025_lecture-slides.pdf,https://arup.utah.edu/sites/default/files/Edu_Media/cc/best-wholegenome-2025_cc_0.vtt,,False,False
bloodparasites-2023,"Introduction to Blood Parasites: It May Be a Bloody Mess, But It Is Worth Knowing",1 hr 5 min 46 sec,True,True,True,https://arup.utah.edu/education/bloodparasites-2023,https://arup.utah.edu/sites/default/files/Edu_Media/videos/bloodparasites-2023_v1.mp4,https://arup.utah.edu/sites/default/files/Edu_Media/pdfs/bloodparasites-2023_lecture-slides.pdf,https://arup.utah.edu/sites/default/files/Edu_Media/cc/bloodparasites-2023_cc_1.vtt,,False,False
boyd-drugscreen-2023,Introduction to Urine Drug Screening,32 min 15 sec,True,True,True,https://arup.utah.edu/education/boyd-drugscreen-2023,https://arup.utah.edu/sites/default/files/Edu_Media/videos/boyd-drugscreen-2023_v2.mp4,https://arup.utah.edu/sites/default/files/Edu_Media/pdfs/boyd-drugscreen-2023_lecture-slides.pdf,https://arup.utah.edu/sites/default/files/Edu_Media/cc/boyd-drugscreen-2023_boyd-drugscreen-2023.vtt,,False,False
boyd-lead-2024,Lead Exposure: An Ongoing Public Health Issue,45 min 3 sec,True,True,True,https://arup.utah.edu/education/boyd-lead-2024,https://arup.utah.edu/sites/default/files/Edu_Media/videos/boyd-lead-2024_v4.mp4,https://arup.utah.edu/sites/default/files/Edu_Media/pdfs/boyd-lead-2024_lecture-slides.pdf,https://arup.utah.edu/sites/default/files/Edu_Media/cc/boyd-lead-2024_SRT%20Boyd_Lead%20Testing%20Subtitles%202025-12-18.vtt,,False,False
boylan-hepato-pcap25,Diagnosing Hepatocellular Adenomas: A Case-Based Approach,50 min 39 sec,True,True,True,https://arup.utah.edu/education/boylan-hepato-pcap25,https://arup.utah.edu/sites/default/files/Edu_Media/videos/boylan-hepato-pcap25_v1.mp4,https://arup.utah.edu/sites/default/files/Edu_Media/pdfs/boylan-hepato-pcap25_lecture-slides.pdf,https://arup.utah.edu/sites/default/files/Edu_Media/cc/boylan-hepato-pcap25_18%20Boylan_Diagnosing%20Hepatocellular%20Adenomas-%20A%20Case-Based%20Approach_1.vtt,pcap25,True,False
bradley-emergingviral-2025,Emerging Viral Diseases: A 2025 Update for Laboratorians,1 hr 16 min 41 sec,True,True,True,https://arup.utah.edu/education/bradley-emergingviral-2025,https://arup.utah.edu/sites/default/files/Edu_Media/videos/bradley-emergingviral-2025_v1.mp4,https://arup.utah.edu/sites/default/files/Edu_Media/pdfs/bradley-emergingviral-2025_lecture-slides.pdf,https://arup.utah.edu/sites/default/files/Edu_Media/cc/bradley-emergingviral-2025_Subtitles%20Bradley_Emerging%20Pathogens%20EDU%202025-09-25.vtt,gi,True,False
bradley-monkeypox-2022,Monkeypox Virus: What the Lab Needs to Know,53 min 49 sec,True,True,True,https://arup.utah.edu/education/bradley-monkeypox-2022,https://arup.utah.edu/sites/default/files/Edu_Media/videos/bradley-monkeypox-2022_v2.mp4,https://arup.utah.edu/sites/default/files/Edu_Media/pdfs/bradley-monkeypox-2022_lecture-slides.pdf,https://arup.utah.edu/sites/default/files/Edu_Media/cc/bradley-monkeypox-2022_cc_3.vtt,,False,False
bridging,When Professionals Meet: Bridging the Gap Between the Laboratory and Nursing,54 min 35 sec,True,True,True,https://arup.utah.edu/education/bridging,https://arup.utah.edu/sites/default/files/Edu_Media/videos/bridging_new3.mp4,https://arup.utah.edu/sites/default/files/Edu_Media/pdfs/bridging_Bridging%20the%20Gap.pdf,https://arup.utah.edu/sites/default/files/Edu_Media/cc/bridging_cc_3.vtt,gi,True,False
bullying,Is There a Bully in the Room?,26 min 46 sec,True,True,True,https://arup.utah.edu/education/bullying,https://arup.utah.edu/sites/default/files/Edu_Media/videos/bullying_11-17-16BradshawBullying3.mp4,https://arup.utah.edu/sites/default/files/Edu_Media/pdfs/bullying_Lab%20Bullying%20Final%20Version11-17-16.pdf,https://arup.utah.edu/sites/default/files/Edu_Media/cc/bullying_cc_3.vtt,,False,False
burns-why-pbm25,PBM the Why: Better Yet the Why Not?,38 min 32 sec,True,True,True,https://arup.utah.edu/education/burns-why-pbm25,https://arup.utah.edu/sites/default/files/Edu_Media/videos/burns-why-pbm25_v1.mp4,https://arup.utah.edu/sites/default/files/Edu_Media/pdfs/burns-why-pbm25_lecture-slides.pdf,https://arup.utah.edu/sites/default/files/Edu_Media/cc/burns-why-pbm25_PBM%201%20Burns_PBM%2C%20the%20Why%2C%20the%20Why%20Not%20V2.vtt,pbm25,False,False
