canonical_tag,display_label,root_id,root_label,subcategory_label,provenance,study_query,dedupe_key,merged_alias_count,merged_alias_tags
Cyto_GI_Tract::Small_Intestine::Malignant::Adenocarcinoma_Ampullary,Adenocarcinoma_Ampullary,cyto,Cytopathology,Cyto_GI_Tract,abpath,Adenocarcinoma Ampullary cytology,cyto::adenocarcinoma_ampullary,0,
Cyto_GI_Tract::Small_Intestine::Malignant::Lymphoma,Lymphoma,cyto,Cytopathology,Cyto_GI_Tract,abpath,Lymphoma cytology,cyto::lymphoma,0,
Cyto_GI_Tract::Small_Intestine::Malignant::Neuroendocrine_Tumor,Neuroendocrine_Tumor,cyto,Cytopathology,Cyto_GI_Tract,abpath,Neuroendocrine Tumor cytology,cyto::neuroendocrine_tumor,0,
Cyto_GI_Tract::Stomach::Benign::Normal_Gastric_Cytology,Normal_Gastric_Cytology,cyto,Cytopathology,Cyto_GI_Tract,abpath,Normal Gastric Cytology,cyto::normal_gastric_cytology,0,
Cyto_GI_Tract::Stomach::Benign_Precursor::Gastric_Adenoma,Gastric_Adenoma,cyto,Cytopathology,Cyto_GI_Tract,abpath,Gastric Adenoma cytology,cyto::gastric_adenoma,0,
Cyto_GI_Tract::Stomach::Benign_Precursor::Gastric_Dysplasia,Gastric_Dysplasia,cyto,Cytopathology,Cyto_GI_Tract,abpath,Gastric Dysplasia cytology,cyto::gastric_dysplasia,0,
Cyto_GI_Tract::Stomach::Benign_Reactive::Epithelial_Repair,Epithelial_Repair,cyto,Cytopathology,Cyto_GI_Tract,abpath,Epithelial Repair cytology,cyto::epithelial_repair,0,
Cyto_GI_Tract::Stomach::Benign_Reactive::Gastritis,Gastritis,cyto,Cytopathology,Cyto_GI_Tract,abpath,Gastritis cytology,cyto::gastritis,0,
Cyto_GI_Tract::Stomach::Infectious::Helicobacter_Pylori,Helicobacter_Pylori,cyto,Cytopathology,Cyto_GI_Tract,abpath,Helicobacter Pylori cytology,cyto::helicobacter_pylori,0,
Cyto_GI_Tract::Stomach::Infectious::Mycobacteria_Atypical,Mycobacteria_Atypical,cyto,Cytopathology,Cyto_GI_Tract,abpath,Mycobacteria Atypical cytology,cyto::mycobacteria_atypical,0,
Cyto_GI_Tract::Stomach::Malignant::Adenocarcinoma_Diffuse_Signet_Ring_Cell,Adenocarcinoma_Diffuse_Signet_Ring_Cell,cyto,Cytopathology,Cyto_GI_Tract,abpath,Adenocarcinoma Diffuse Signet Ring Cell cytology,cyto::adenocarcinoma_diffuse_signet_ring_cell,0,
Cyto_GI_Tract::Stomach::Malignant::Adenocarcinoma_Intestinal_Type,Adenocarcinoma_Intestinal_Type,cyto,Cytopathology,Cyto_GI_Tract,abpath,Adenocarcinoma Intestinal Type cytology,cyto::adenocarcinoma_intestinal_type,0,
Cyto_GI_Tract::Stomach::Malignant::Lymphoma_Diffuse_Large_B_Cell,Lymphoma_Diffuse_Large_B_Cell,cyto,Cytopathology,Cyto_GI_Tract,abpath,Lymphoma Diffuse Large B Cell cytology,cyto::lymphoma_diffuse_large_b_cell,2,Cyto_Salivary::Malignant::Lymphoma_Diffuse_Large_B_Cell|Cyto_Thoracic::Malignant::Lymphoid::Lymphoma_Diffuse_Large_B_Cell
Cyto_GI_Tract::Stomach::Malignant::Lymphoma_MALT,Lymphoma_MALT,cyto,Cytopathology,Cyto_GI_Tract,abpath,Lymphoma MALT cytology,cyto::lymphoma_malt,2,Cyto_Salivary::Malignant::Lymphoma_MALT|Cyto_Thoracic::Malignant::Lymphoid::Lymphoma_MALT
Cyto_GI_Tract::Stomach::Malignant::Neuroendocrine_Tumor_Carcinoid,Neuroendocrine_Tumor_Carcinoid,cyto,Cytopathology,Cyto_GI_Tract,abpath,Neuroendocrine Tumor Carcinoid cytology,cyto::neuroendocrine_tumor_carcinoid,0,
Cyto_GYN::Benign::Normal_GYN_Cytology,Normal_GYN_Cytology,cyto,Cytopathology,Cyto_GYN,abpath,Normal GYN Cytology,cyto::normal_gyn_cytology,0,
Cyto_GYN::Benign_Reactive::Endometrial_Cells_After_Age_45,Endometrial_Cells_After_Age_45,cyto,Cytopathology,Cyto_GYN,abpath,Endometrial Cells After Age 45 cytology,cyto::endometrial_cells_after_age_45,0,
Cyto_GYN::Benign_Reactive::Endometrial_Cells_On_Pap_Test,Endometrial_Cells_On_Pap_Test,cyto,Cytopathology,Cyto_GYN,abpath,Endometrial Cells On Pap Test cytology,cyto::endometrial_cells_on_pap_test,0,
Cyto_GYN::Benign_Reactive::Non_Neoplastic::Atrophy_Atrophic_Vaginitis,Atrophy_Atrophic_Vaginitis,cyto,Cytopathology,Cyto_GYN,abpath,Atrophy Atrophic Vaginitis cytology,cyto::atrophy_atrophic_vaginitis,0,
Cyto_GYN::Benign_Reactive::Non_Neoplastic::Behcet_Disease,Behcet_Disease,cyto,Cytopathology,Cyto_GYN,abpath,Behcet Disease cytology,cyto::behcet_disease,0,
Cyto_GYN::Benign_Reactive::Non_Neoplastic::Cyst_Gartner_Duct,Cyst_Gartner_Duct,cyto,Cytopathology,Cyto_GYN,abpath,Cyst Gartner Duct cytology,cyto::cyst_gartner_duct,0,
Cyto_GYN::Benign_Reactive::Non_Neoplastic::Cyst_Inclusion,Cyst_Inclusion,cyto,Cytopathology,Cyto_GYN,abpath,Cyst Inclusion cytology,cyto::cyst_inclusion,0,
Cyto_GYN::Benign_Reactive::Non_Neoplastic::Cyst_Mullerian,Cyst_Mullerian,cyto,Cytopathology,Cyto_GYN,abpath,Cyst Mullerian cytology,cyto::cyst_mullerian,0,
Cyto_GYN::Benign_Reactive::Non_Neoplastic::Desquamative_Inflammatory_Vaginitis,Desquamative_Inflammatory_Vaginitis,cyto,Cytopathology,Cyto_GYN,abpath,Desquamative Inflammatory Vaginitis cytology,cyto::desquamative_inflammatory_vaginitis,0,
Cyto_GYN::Benign_Reactive::Non_Neoplastic::Follicular_Cervicitis,Follicular_Cervicitis,cyto,Cytopathology,Cyto_GYN,abpath,Follicular Cervicitis cytology,cyto::follicular_cervicitis,0,
Cyto_GYN::Benign_Reactive::Non_Neoplastic::Glandular_Cells_Post_Hysterectomy,Glandular_Cells_Post_Hysterectomy,cyto,Cytopathology,Cyto_GYN,abpath,Glandular Cells Post Hysterectomy cytology,cyto::glandular_cells_post_hysterectomy,0,
Cyto_GYN::Benign_Reactive::Non_Neoplastic::Intrauterine_Device_IUD_Effect,Intrauterine_Device_IUD_Effect,cyto,Cytopathology,Cyto_GYN,abpath,Intrauterine Device IUD Effect cytology,cyto::intrauterine_device_iud_effect,0,
Cyto_GYN::Benign_Reactive::Non_Neoplastic::Keratotic_Changes_Hyperkeratosis,Keratotic_Changes_Hyperkeratosis,cyto,Cytopathology,Cyto_GYN,abpath,Keratotic Changes Hyperkeratosis cytology,cyto::keratotic_changes_hyperkeratosis,0,
Cyto_GYN::Benign_Reactive::Non_Neoplastic::Keratotic_Changes_Parakeratosis,Keratotic_Changes_Parakeratosis,cyto,Cytopathology,Cyto_GYN,abpath,Keratotic Changes Parakeratosis cytology,cyto::keratotic_changes_parakeratosis,0,
Cyto_GYN::Benign_Reactive::Non_Neoplastic::Langerhans_Cell_Histiocytosis,Langerhans_Cell_Histiocytosis,cyto,Cytopathology,Cyto_GYN,abpath,Langerhans Cell Histiocytosis cytology,cyto::langerhans_cell_histiocytosis,1,Cyto_Heme::Malignant::Histiocytic::Langerhans_Cell_Histiocytosis
Cyto_GYN::Benign_Reactive::Non_Neoplastic::Malacoplakia,Malacoplakia,cyto,Cytopathology,Cyto_GYN,abpath,Malacoplakia cytology,cyto::malacoplakia,0,
Cyto_GYN::Benign_Reactive::Non_Neoplastic::Mesonephric_Duct_Remnants,Mesonephric_Duct_Remnants,cyto,Cytopathology,Cyto_GYN,abpath,Mesonephric Duct Remnants cytology,cyto::mesonephric_duct_remnants,0,
Cyto_GYN::Benign_Reactive::Non_Neoplastic::Microglandular_Hyperplasia,Microglandular_Hyperplasia,cyto,Cytopathology,Cyto_GYN,abpath,Microglandular Hyperplasia cytology,cyto::microglandular_hyperplasia,0,
Cyto_GYN::Benign_Reactive::Non_Neoplastic::Pemphigus_Vulgaris,Pemphigus_Vulgaris,cyto,Cytopathology,Cyto_GYN,abpath,Pemphigus Vulgaris cytology,cyto::pemphigus_vulgaris,0,
Cyto_GYN::Benign_Reactive::Non_Neoplastic::Pregnancy_Associated_Arias_Stella_Reaction,Pregnancy_Associated_Arias_Stella_Reaction,cyto,Cytopathology,Cyto_GYN,abpath,Pregnancy Associated Arias Stella Reaction cytology,cyto::pregnancy_associated_arias_stella_reaction,0,
Cyto_GYN::Benign_Reactive::Non_Neoplastic::Pregnancy_Associated_Decidual_Cells,Pregnancy_Associated_Decidual_Cells,cyto,Cytopathology,Cyto_GYN,abpath,Pregnancy Associated Decidual Cells cytology,cyto::pregnancy_associated_decidual_cells,0,
Cyto_GYN::Benign_Reactive::Non_Neoplastic::Reactive_Cellular_Changes_Inflammation,Reactive_Cellular_Changes_Inflammation,cyto,Cytopathology,Cyto_GYN,abpath,Reactive Cellular Changes Inflammation cytology,cyto::reactive_cellular_changes_inflammation,0,
Cyto_GYN::Benign_Reactive::Non_Neoplastic::Reactive_Cellular_Changes_Repair_Atypical,Reactive_Cellular_Changes_Repair_Atypical,cyto,Cytopathology,Cyto_GYN,abpath,Reactive Cellular Changes Repair Atypical cytology,cyto::reactive_cellular_changes_repair_atypical,0,
Cyto_GYN::Benign_Reactive::Non_Neoplastic::Reactive_Cellular_Changes_Repair_Typical,Reactive_Cellular_Changes_Repair_Typical,cyto,Cytopathology,Cyto_GYN,abpath,Reactive Cellular Changes Repair Typical cytology,cyto::reactive_cellular_changes_repair_typical,0,
Cyto_GYN::Benign_Reactive::Non_Neoplastic::Squamous_Metaplasia_Immature,Squamous_Metaplasia_Immature,cyto,Cytopathology,Cyto_GYN,abpath,Squamous Metaplasia Immature cytology,cyto::squamous_metaplasia_immature,0,
Cyto_GYN::Benign_Reactive::Non_Neoplastic::Squamous_Metaplasia_Mature,Squamous_Metaplasia_Mature,cyto,Cytopathology,Cyto_GYN,abpath,Squamous Metaplasia Mature cytology,cyto::squamous_metaplasia_mature,0,
Cyto_GYN::Benign_Reactive::Non_Neoplastic::Transitional_Cell_Metaplasia,Transitional_Cell_Metaplasia,cyto,Cytopathology,Cyto_GYN,abpath,Transitional Cell Metaplasia cytology,cyto::transitional_cell_metaplasia,0,
Cyto_GYN::Benign_Reactive::Non_Neoplastic::Tubal_Metaplasia,Tubal_Metaplasia,cyto,Cytopathology,Cyto_GYN,abpath,Tubal Metaplasia cytology,cyto::tubal_metaplasia,0,
Cyto_GYN::Benign_Reactive::Non_Neoplastic::Vaginal_Adenosis,Vaginal_Adenosis,cyto,Cytopathology,Cyto_GYN,abpath,Vaginal Adenosis cytology,cyto::vaginal_adenosis,0,
Cyto_GYN::Benign_Reactive::Non_Neoplastic::Vaginitis_Emphysematosa,Vaginitis_Emphysematosa,cyto,Cytopathology,Cyto_GYN,abpath,Vaginitis Emphysematosa cytology,cyto::vaginitis_emphysematosa,0,
Cyto_GYN::Benign_Reactive::Organisms::Adenovirus,Adenovirus,cyto,Cytopathology,Cyto_GYN,abpath,Adenovirus cytology,cyto::adenovirus,2,Cyto_Thoracic::Infectious::Viral::Adenovirus|Cyto_Urinary::Infectious::Viral::Adenovirus
Cyto_GYN::Benign_Reactive::Organisms::Bacterial_Vaginosis_Shift_In_Flora,Bacterial_Vaginosis_Shift_In_Flora,cyto,Cytopathology,Cyto_GYN,abpath,Bacterial Vaginosis Shift In Flora cytology,cyto::bacterial_vaginosis_shift_in_flora,0,
Cyto_GYN::Benign_Reactive::Organisms::Candida_Glabrata_Torulopsis,Candida_Glabrata_Torulopsis,cyto,Cytopathology,Cyto_GYN,abpath,Candida Glabrata Torulopsis cytology,cyto::candida_glabrata_torulopsis,0,
Cyto_GYN::Benign_Reactive::Organisms::Enterobius_Vermicularis_Pinworm,Enterobius_Vermicularis_Pinworm,cyto,Cytopathology,Cyto_GYN,abpath,Enterobius Vermicularis Pinworm cytology,cyto::enterobius_vermicularis_pinworm,0,
Cyto_GYN::Benign_Reactive::Organisms::Granuloma_Inguinale_Donovan_Bodies,Granuloma_Inguinale_Donovan_Bodies,cyto,Cytopathology,Cyto_GYN,abpath,Granuloma Inguinale Donovan Bodies cytology,cyto::granuloma_inguinale_donovan_bodies,0,
Cyto_GYN::Benign_Reactive::Organisms::Herpes_Zoster_Virus_VZV,Herpes_Zoster_Virus_VZV,cyto,Cytopathology,Cyto_GYN,abpath,Herpes Zoster Virus VZV cytology,cyto::herpes_zoster_virus_vzv,0,
Cyto_GYN::Benign_Reactive::Organisms::Lactobacillosis,Lactobacillosis,cyto,Cytopathology,Cyto_GYN,abpath,Lactobacillosis cytology,cyto::lactobacillosis,0,
Cyto_GYN::Benign_Reactive::Organisms::Leptotrichia_Buccalis_Leptothrix,Leptotrichia_Buccalis_Leptothrix,cyto,Cytopathology,Cyto_GYN,abpath,Leptotrichia Buccalis Leptothrix cytology,cyto::leptotrichia_buccalis_leptothrix,0,
Cyto_GYN::Benign_Reactive::Organisms::Molluscum_Contagiosum,Molluscum_Contagiosum,cyto,Cytopathology,Cyto_GYN,abpath,Molluscum Contagiosum cytology,cyto::molluscum_contagiosum,0,
Cyto_GYN::Benign_Reactive::Organisms::Neisseria_Gonorrhoeae,Neisseria_Gonorrhoeae,cyto,Cytopathology,Cyto_GYN,abpath,Neisseria Gonorrhoeae cytology,cyto::neisseria_gonorrhoeae,0,
Cyto_GYN::Benign_Reactive::Organisms::Polyomavirus_BK_Virus_Decoy_Cells,Polyomavirus_BK_Virus_Decoy_Cells,cyto,Cytopathology,Cyto_GYN,abpath,Polyomavirus BK Virus Decoy Cells cytology,cyto::polyomavirus_bk_virus_decoy_cells,0,
Cyto_GYN::Benign_Reactive::Organisms::Schistosoma,Schistosoma,cyto,Cytopathology,Cyto_GYN,abpath,Schistosoma cytology,cyto::schistosoma,0,
Cyto_GYN::Benign_Reactive::Organisms::Trichomonas_Vaginalis,Trichomonas_Vaginalis,cyto,Cytopathology,Cyto_GYN,abpath,Trichomonas Vaginalis cytology,cyto::trichomonas_vaginalis,1,Cyto_Urinary::Infectious::Parasitic::Trichomonas_Vaginalis
Cyto_GYN::Benign_Reactive::Organisms::Wuchereria_Bancrofti_Filariasis,Wuchereria_Bancrofti_Filariasis,cyto,Cytopathology,Cyto_GYN,abpath,Wuchereria Bancrofti Filariasis cytology,cyto::wuchereria_bancrofti_filariasis,0,
Cyto_GYN::Glandular::Atypical_Endocervical_Cells_Favor_Neoplastic,Atypical_Endocervical_Cells_Favor_Neoplastic,cyto,Cytopathology,Cyto_GYN,abpath,Atypical Endocervical Cells Favor Neoplastic cytology,cyto::atypical_endocervical_cells_favor_neoplastic,0,
Cyto_GYN::Glandular::Atypical_Glandular_Cells_AGC_Endocervical,Atypical_Glandular_Cells_AGC_Endocervical,cyto,Cytopathology,Cyto_GYN,abpath,Atypical Glandular Cells AGC Endocervical cytology,cyto::atypical_glandular_cells_agc_endocervical,0,
Cyto_GYN::Glandular::Atypical_Glandular_Cells_AGC_Endometrial,Atypical_Glandular_Cells_AGC_Endometrial,cyto,Cytopathology,Cyto_GYN,abpath,Atypical Glandular Cells AGC Endometrial cytology,cyto::atypical_glandular_cells_agc_endometrial,0,
Cyto_GYN::Glandular::Atypical_Glandular_Cells_AGC_NOS,Atypical_Glandular_Cells_AGC_NOS,cyto,Cytopathology,Cyto_GYN,abpath,Atypical Glandular Cells AGC NOS cytology,cyto::atypical_glandular_cells_agc_nos,0,
Cyto_GYN::Glandular::Benign_Neoplasm::Endocervical_Polyp,Endocervical_Polyp,cyto,Cytopathology,Cyto_GYN,abpath,Endocervical Polyp cytology,cyto::endocervical_polyp,0,
Cyto_GYN::Glandular::Benign_Neoplasm::Endometrial_Polyp,Endometrial_Polyp,cyto,Cytopathology,Cyto_GYN,abpath,Endometrial Polyp cytology,cyto::endometrial_polyp,0,
Cyto_GYN::Glandular::Benign_Neoplasm::Papillary_Hidradenoma,Papillary_Hidradenoma,cyto,Cytopathology,Cyto_GYN,abpath,Papillary Hidradenoma cytology,cyto::papillary_hidradenoma,0,
Cyto_GYN::Glandular::Carcinoma::Adenocarcinoma_Endocervical_Mesonephric,Adenocarcinoma_Endocervical_Mesonephric,cyto,Cytopathology,Cyto_GYN,abpath,Adenocarcinoma Endocervical Mesonephric cytology,cyto::adenocarcinoma_endocervical_mesonephric,0,
Cyto_GYN::Glandular::Carcinoma::Adenocarcinoma_Endocervical_Minimal_Deviation_Adenoma_Malignum,Adenocarcinoma_Endocervical_Minimal_Deviation_Adenoma_Malignum,cyto,Cytopathology,Cyto_GYN,abpath,Adenocarcinoma Endocervical Minimal Deviation Adenoma Malignum cytology,cyto::adenocarcinoma_endocervical_minimal_deviation_adenoma_malignum,0,
Cyto_GYN::Glandular::Carcinoma::Adenocarcinoma_Endocervical_Mucinous_Gastric_Type,Adenocarcinoma_Endocervical_Mucinous_Gastric_Type,cyto,Cytopathology,Cyto_GYN,abpath,Adenocarcinoma Endocervical Mucinous Gastric Type cytology,cyto::adenocarcinoma_endocervical_mucinous_gastric_type,0,
Cyto_GYN::Glandular::Carcinoma::Adenocarcinoma_Endocervical_Mucinous_Intestinal_Type,Adenocarcinoma_Endocervical_Mucinous_Intestinal_Type,cyto,Cytopathology,Cyto_GYN,abpath,Adenocarcinoma Endocervical Mucinous Intestinal Type cytology,cyto::adenocarcinoma_endocervical_mucinous_intestinal_type,0,
Cyto_GYN::Glandular::Carcinoma::Adenocarcinoma_Endocervical_Mucinous_Signet_Ring,Adenocarcinoma_Endocervical_Mucinous_Signet_Ring,cyto,Cytopathology,Cyto_GYN,abpath,Adenocarcinoma Endocervical Mucinous Signet Ring cytology,cyto::adenocarcinoma_endocervical_mucinous_signet_ring,0,
Cyto_GYN::Glandular::Carcinoma::Adenocarcinoma_Endocervical_Usual,Adenocarcinoma_Endocervical_Usual,cyto,Cytopathology,Cyto_GYN,abpath,Adenocarcinoma Endocervical Usual cytology,cyto::adenocarcinoma_endocervical_usual,0,
Cyto_GYN::Glandular::Carcinoma::Adenocarcinoma_Endocervical_Villoglandular,Adenocarcinoma_Endocervical_Villoglandular,cyto,Cytopathology,Cyto_GYN,abpath,Adenocarcinoma Endocervical Villoglandular cytology,cyto::adenocarcinoma_endocervical_villoglandular,0,
Cyto_GYN::Glandular::Carcinoma::Adenocarcinoma_Endometrial_Clear_Cell,Adenocarcinoma_Endometrial_Clear_Cell,cyto,Cytopathology,Cyto_GYN,abpath,Adenocarcinoma Endometrial Clear Cell cytology,cyto::adenocarcinoma_endometrial_clear_cell,0,
Cyto_GYN::Glandular::Carcinoma::Adenocarcinoma_Endometrial_Endometrioid,Adenocarcinoma_Endometrial_Endometrioid,cyto,Cytopathology,Cyto_GYN,abpath,Adenocarcinoma Endometrial Endometrioid cytology,cyto::adenocarcinoma_endometrial_endometrioid,0,
Cyto_GYN::Glandular::Carcinoma::Adenocarcinoma_Endometrial_Serous,Adenocarcinoma_Endometrial_Serous,cyto,Cytopathology,Cyto_GYN,abpath,Adenocarcinoma Endometrial Serous cytology,cyto::adenocarcinoma_endometrial_serous,0,
Cyto_GYN::Glandular::Carcinoma::Adenocarcinoma_Extrauterine,Adenocarcinoma_Extrauterine,cyto,Cytopathology,Cyto_GYN,abpath,Adenocarcinoma Extrauterine cytology,cyto::adenocarcinoma_extrauterine,0,
Cyto_GYN::Glandular::Carcinoma::Adenocarcinoma_NOS,Adenocarcinoma_NOS,cyto,Cytopathology,Cyto_GYN,abpath,Adenocarcinoma NOS cytology,cyto::adenocarcinoma_nos,0,
Cyto_GYN::Glandular::Carcinoma::Adenosquamous_Carcinoma,Adenosquamous_Carcinoma,cyto,Cytopathology,Cyto_GYN,abpath,Adenosquamous Carcinoma cytology,cyto::adenosquamous_carcinoma,1,Cyto_Thoracic::Malignant::Carcinoma::Adenosquamous_Carcinoma
Cyto_GYN::Glandular::Carcinoma::Clear_Cell_Carcinoma_DES_Associated,Clear_Cell_Carcinoma_DES_Associated,cyto,Cytopathology,Cyto_GYN,abpath,Clear Cell Carcinoma DES Associated cytology,cyto::clear_cell_carcinoma_des_associated,0,
Cyto_GYN::Glandular::Carcinoma::Glassy_Cell_Carcinoma,Glassy_Cell_Carcinoma,cyto,Cytopathology,Cyto_GYN,abpath,Glassy Cell Carcinoma cytology,cyto::glassy_cell_carcinoma,0,
Cyto_GYN::Glandular::Carcinoma::Mucoepidermoid_Carcinoma,Mucoepidermoid_Carcinoma,cyto,Cytopathology,Cyto_GYN,abpath,Mucoepidermoid Carcinoma cytology,cyto::mucoepidermoid_carcinoma,0,
Cyto_GYN::Glandular::Carcinoma::Paget_Disease_Vulva,Paget_Disease_Vulva,cyto,Cytopathology,Cyto_GYN,abpath,Paget Disease Vulva cytology,cyto::paget_disease_vulva,0,
Cyto_GYN::Glandular::Endocervical_Adenocarcinoma_In_Situ_AIS_Endometrioid,Endocervical_Adenocarcinoma_In_Situ_AIS_Endometrioid,cyto,Cytopathology,Cyto_GYN,abpath,Endocervical Adenocarcinoma In Situ AIS Endometrioid cytology,cyto::endocervical_adenocarcinoma_in_situ_ais_endometrioid,0,
Cyto_GYN::Glandular::Endocervical_Adenocarcinoma_In_Situ_AIS_Intestinal,Endocervical_Adenocarcinoma_In_Situ_AIS_Intestinal,cyto,Cytopathology,Cyto_GYN,abpath,Endocervical Adenocarcinoma In Situ AIS Intestinal cytology,cyto::endocervical_adenocarcinoma_in_situ_ais_intestinal,0,
Cyto_GYN::Glandular::Endocervical_Adenocarcinoma_In_Situ_AIS_Usual,Endocervical_Adenocarcinoma_In_Situ_AIS_Usual,cyto,Cytopathology,Cyto_GYN,abpath,Endocervical Adenocarcinoma In Situ AIS Usual cytology,cyto::endocervical_adenocarcinoma_in_situ_ais_usual,0,
Cyto_GYN::Glandular::Hyperplasia::Endometrial_Hyperplasia_Atypical,Endometrial_Hyperplasia_Atypical,cyto,Cytopathology,Cyto_GYN,abpath,Endometrial Hyperplasia Atypical cytology,cyto::endometrial_hyperplasia_atypical,0,
Cyto_GYN::Glandular::Hyperplasia::Endometrial_Hyperplasia_Complex,Endometrial_Hyperplasia_Complex,cyto,Cytopathology,Cyto_GYN,abpath,Endometrial Hyperplasia Complex cytology,cyto::endometrial_hyperplasia_complex,0,
Cyto_GYN::Glandular::Hyperplasia::Endometrial_Hyperplasia_Simple,Endometrial_Hyperplasia_Simple,cyto,Cytopathology,Cyto_GYN,abpath,Endometrial Hyperplasia Simple cytology,cyto::endometrial_hyperplasia_simple,0,
Cyto_GYN::Malignant_Other::Adenosarcoma,Adenosarcoma,cyto,Cytopathology,Cyto_GYN,abpath,Adenosarcoma cytology,cyto::adenosarcoma,0,
Cyto_GYN::Malignant_Other::Carcinosarcoma_MMMT,Carcinosarcoma_MMMT,cyto,Cytopathology,Cyto_GYN,abpath,Carcinosarcoma MMMT cytology,cyto::carcinosarcoma_mmmt,0,
Cyto_GYN::Malignant_Other::Embryonal_Rhabdomyosarcoma_Sarcoma_Botryoides,Embryonal_Rhabdomyosarcoma_Sarcoma_Botryoides,cyto,Cytopathology,Cyto_GYN,abpath,Embryonal Rhabdomyosarcoma Sarcoma Botryoides cytology,cyto::embryonal_rhabdomyosarcoma_sarcoma_botryoides,0,
Cyto_GYN::Malignant_Other::Endometrial_Stromal_Sarcoma,Endometrial_Stromal_Sarcoma,cyto,Cytopathology,Cyto_GYN,abpath,Endometrial Stromal Sarcoma cytology,cyto::endometrial_stromal_sarcoma,0,
Cyto_GYN::Malignant_Other::Gestational_Choriocarcinoma,Gestational_Choriocarcinoma,cyto,Cytopathology,Cyto_GYN,abpath,Gestational Choriocarcinoma cytology,cyto::gestational_choriocarcinoma,0,
Cyto_GYN::Malignant_Other::Gestational_Hydatidiform_Mole,Gestational_Hydatidiform_Mole,cyto,Cytopathology,Cyto_GYN,abpath,Gestational Hydatidiform Mole cytology,cyto::gestational_hydatidiform_mole,0,
Cyto_GYN::Malignant_Other::Metastatic_Tumor_Breast,Metastatic_Tumor_Breast,cyto,Cytopathology,Cyto_GYN,abpath,Metastatic Tumor Breast cytology,cyto::metastatic_tumor_breast,0,
Cyto_GYN::Malignant_Other::Metastatic_Tumor_Fallopian_Tube,Metastatic_Tumor_Fallopian_Tube,cyto,Cytopathology,Cyto_GYN,abpath,Metastatic Tumor Fallopian Tube cytology,cyto::metastatic_tumor_fallopian_tube,0,
Cyto_GYN::Malignant_Other::Metastatic_Tumor_GI_Tract,Metastatic_Tumor_GI_Tract,cyto,Cytopathology,Cyto_GYN,abpath,Metastatic Tumor GI Tract cytology,cyto::metastatic_tumor_gi_tract,0,
Cyto_GYN::Malignant_Other::Metastatic_Tumor_Ovary,Metastatic_Tumor_Ovary,cyto,Cytopathology,Cyto_GYN,abpath,Metastatic Tumor Ovary cytology,cyto::metastatic_tumor_ovary,0,
Cyto_GYN::Specimen_Type::Anal_Pap_Smear,Anal_Pap_Smear,cyto,Cytopathology,Cyto_GYN,abpath,Anal Pap Smear cytology,cyto::anal_pap_smear,0,
Cyto_GYN::Specimen_Type::Pap_Smear_Conventional,Pap_Smear_Conventional,cyto,Cytopathology,Cyto_GYN,abpath,Pap Smear Conventional cytology,cyto::pap_smear_conventional,0,
Cyto_GYN::Specimen_Type::Pap_Test_Liquid_Based,Pap_Test_Liquid_Based,cyto,Cytopathology,Cyto_GYN,abpath,Pap Test Liquid Based cytology,cyto::pap_test_liquid_based,0,
Cyto_GYN::Squamous::Anal_Intraepithelial_Neoplasia_High_Grade_HSIL,Anal_Intraepithelial_Neoplasia_High_Grade_HSIL,cyto,Cytopathology,Cyto_GYN,abpath,Anal Intraepithelial Neoplasia High Grade HSIL cytology,cyto::anal_intraepithelial_neoplasia_high_grade_hsil,0,
Cyto_GYN::Squamous::Anal_Intraepithelial_Neoplasia_Low_Grade_LSIL,Anal_Intraepithelial_Neoplasia_Low_Grade_LSIL,cyto,Cytopathology,Cyto_GYN,abpath,Anal Intraepithelial Neoplasia Low Grade LSIL cytology,cyto::anal_intraepithelial_neoplasia_low_grade_lsil,0,
Cyto_GYN::Squamous::Atypical_Squamous_Cells_Cannot_Exclude_HSIL_ASCH,Atypical_Squamous_Cells_Cannot_Exclude_HSIL_ASCH,cyto,Cytopathology,Cyto_GYN,abpath,Atypical Squamous Cells Cannot Exclude HSIL ASCH cytology,cyto::atypical_squamous_cells_cannot_exclude_hsil_asch,0,
Cyto_GYN::Squamous::Atypical_Squamous_Cells_Undetermined_Significance_ASCUS,Atypical_Squamous_Cells_Undetermined_Significance_ASCUS,cyto,Cytopathology,Cyto_GYN,abpath,Atypical Squamous Cells Undetermined Significance ASCUS cytology,cyto::atypical_squamous_cells_undetermined_significance_ascus,0,
Cyto_GYN::Squamous::Keratinizing_Dysplasia,Keratinizing_Dysplasia,cyto,Cytopathology,Cyto_GYN,abpath,Keratinizing Dysplasia cytology,cyto::keratinizing_dysplasia,0,
Cyto_GYN::Squamous::Squamous_Cell_Carcinoma_Lymphoepithelioma_Like,Squamous_Cell_Carcinoma_Lymphoepithelioma_Like,cyto,Cytopathology,Cyto_GYN,abpath,Squamous Cell Carcinoma Lymphoepithelioma Like cytology,cyto::squamous_cell_carcinoma_lymphoepithelioma_like,0,
Cyto_GYN::Squamous::Squamous_Cell_Carcinoma_Microinvasive_SISCA,Squamous_Cell_Carcinoma_Microinvasive_SISCA,cyto,Cytopathology,Cyto_GYN,abpath,Squamous Cell Carcinoma Microinvasive SISCA cytology,cyto::squamous_cell_carcinoma_microinvasive_sisca,0,
