canonical_tag,display_label,root_id,root_label,subcategory_label,provenance,study_query,dedupe_key,merged_alias_count,merged_alias_tags
BST::Bone::Depositional_Metabolic::Metabolic::Brown_Tumor,Brown_Tumor,bst,BST,Bone,abpath,Brown Tumor,bst::brown_tumor,0,
BST::Bone::Depositional_Metabolic::Metabolic::Common_Metabolic_Bone_Disorders,Common_Metabolic_Bone_Disorders,bst,BST,Bone,abpath,Common Metabolic Bone Disorders,bst::common_metabolic_bone_disorders,0,
BST::Bone::Depositional_Metabolic::Storage_Disease::Gaucher_Disease,Gaucher_Disease,bst,BST,Bone,abpath,Gaucher Disease,bst::gaucher_disease,0,
BST::Bone::Fibrogenic::Benign::Benign_Fibrous_Histiocytoma_Bone,Benign_Fibrous_Histiocytoma_Bone,bst,BST,Bone,abpath,Benign Fibrous Histiocytoma Bone,bst::benign_fibrous_histiocytoma_bone,0,
BST::Bone::Fibrogenic::Benign::Desmoplastic_Fibroma,Desmoplastic_Fibroma,bst,BST,Bone,abpath,Desmoplastic Fibroma,bst::desmoplastic_fibroma,0,
BST::Bone::Fibrogenic::Benign::Non_Ossifying_Fibroma,Non_Ossifying_Fibroma,bst,BST,Bone,abpath,Non Ossifying Fibroma,bst::non_ossifying_fibroma,1,BST::Bone::Giant_Cell_Rich::Non_Ossifying_Fibroma
BST::Bone::Fibrogenic::Desmoplastic_Fibroma_of_Bone,Desmoplastic_Fibroma_of_Bone,bst,BST,Bone,who,Desmoplastic Fibroma of Bone,bst::desmoplastic_fibroma_of_bone,0,
BST::Bone::Fibrogenic::Malignant::Fibrosarcoma_Of_Bone,Fibrosarcoma_Of_Bone,bst,BST,Bone,abpath,Fibrosarcoma Of Bone,bst::fibrosarcoma_of_bone,1,BST::Bone::Fibrogenic::Fibrosarcoma_of_Bone
BST::Bone::Giant_Cell::Benign::Giant_Cell_Reparative_Granuloma,Giant_Cell_Reparative_Granuloma,bst,BST,Bone,abpath,Giant Cell Reparative Granuloma,bst::giant_cell_reparative_granuloma,0,
BST::Bone::Giant_Cell::Intermediate::Giant_Cell_Tumor_Of_Bone,Giant_Cell_Tumor_Of_Bone,bst,BST,Bone,abpath,Giant Cell Tumor Of Bone,bst::giant_cell_tumor_of_bone,0,
BST::Bone::Giant_Cell::Malignant::Malignant_Giant_Cell_Tumor_Of_Bone,Malignant_Giant_Cell_Tumor_Of_Bone,bst,BST,Bone,abpath,Malignant Giant Cell Tumor Of Bone,bst::malignant_giant_cell_tumor_of_bone,0,
BST::Bone::Hematolymphoid::Intermediate::Erdheim_Chester_Disease,Erdheim_Chester_Disease,bst,BST,Bone,abpath,Erdheim Chester Disease,bst::erdheim_chester_disease,1,BST::Bone::Hematopoietic::Erdheim_Chester_Disease
BST::Bone::Hematolymphoid::Intermediate::Langerhans_Cell_Histiocytosis,Langerhans_Cell_Histiocytosis,bst,BST,Bone,abpath,Langerhans Cell Histiocytosis,bst::langerhans_cell_histiocytosis,2,BST::Bone::Hematopoietic::Langerhans_Cell_Histiocytosis|BST::Soft_Tissue::Hematolymphoid::Benign::Langerhans_Cell_Histiocytosis
BST::Bone::Hematolymphoid::Intermediate::Rosai_Dorfman_Disease,Rosai_Dorfman_Disease,bst,BST,Bone,abpath,Rosai Dorfman Disease,bst::rosai_dorfman_disease,1,BST::Bone::Hematopoietic::Rosai_Dorfman_Disease
BST::Bone::Hematolymphoid::Malignant::Plasma_Cell_Myeloma,Plasma_Cell_Myeloma,bst,BST,Bone,abpath,Plasma Cell Myeloma,bst::plasma_cell_myeloma,0,
BST::Bone::Hematolymphoid::Malignant::Primary_Bone_Lymphoma,Primary_Bone_Lymphoma,bst,BST,Bone,abpath,Primary Bone Lymphoma,bst::primary_bone_lymphoma,0,
BST::Bone::Hematolymphoid::Malignant::Solitary_Plasmacytoma,Solitary_Plasmacytoma,bst,BST,Bone,abpath,Solitary Plasmacytoma,bst::solitary_plasmacytoma,0,
BST::Bone::Hematopoietic::Solitary_Plasmacytoma_of_Bone,Solitary_Plasmacytoma_of_Bone,bst,BST,Bone,who,Solitary Plasmacytoma of Bone,bst::solitary_plasmacytoma_of_bone,0,
BST::Bone::Normal_Histology::Growth_And_Development,Growth_And_Development,bst,BST,Bone,abpath,Growth And Development,bst::growth_and_development,0,
BST::Bone::Normal_Histology::Radiologic_Approach_To_Bone_Tumors,Radiologic_Approach_To_Bone_Tumors,bst,BST,Bone,abpath,Radiologic Approach To Bone Tumors,bst::radiologic_approach_to_bone_tumors,0,
BST::Bone::Notochordal::Benign::Benign_Notochordal_Cell_Tumor,Benign_Notochordal_Cell_Tumor,bst,BST,Bone,abpath,Benign Notochordal Cell Tumor,bst::benign_notochordal_cell_tumor,1,BST::Bone::Notochordal::Benign_Notochordal_Cell_Tumor
BST::Bone::Notochordal::Dedifferentiated_Chordoma,Dedifferentiated_Chordoma,bst,BST,Bone,who,Dedifferentiated Chordoma,bst::dedifferentiated_chordoma,0,
BST::Bone::Notochordal::Malignant::Chordoma_Conventional,Chordoma_Conventional,bst,BST,Bone,abpath,Chordoma Conventional,bst::chordoma_conventional,0,
BST::Bone::Notochordal::Malignant::Chordoma_Dedifferentiated,Chordoma_Dedifferentiated,bst,BST,Bone,abpath,Chordoma Dedifferentiated,bst::chordoma_dedifferentiated,0,
BST::Bone::Notochordal::Malignant::Chordoma_Poorly_Differentiated,Chordoma_Poorly_Differentiated,bst,BST,Bone,abpath,Chordoma Poorly Differentiated,bst::chordoma_poorly_differentiated,0,
BST::Bone::Notochordal::Poorly_Differentiated_Chordoma,Poorly_Differentiated_Chordoma,bst,BST,Bone,who,Poorly Differentiated Chordoma,bst::poorly_differentiated_chordoma,0,
BST::Bone::Osteogenic::Benign::Bone_Island_Enostosis,Bone_Island_Enostosis,bst,BST,Bone,abpath,Bone Island Enostosis,bst::bone_island_enostosis,0,
BST::Bone::Osteogenic::Benign::Osteoblastoma,Osteoblastoma,bst,BST,Bone,abpath,Osteoblastoma,bst::osteoblastoma,0,
BST::Bone::Osteogenic::Benign::Osteoid_Osteoma,Osteoid_Osteoma,bst,BST,Bone,abpath,Osteoid Osteoma,bst::osteoid_osteoma,1,BST::Bone::Osteogenic::Osteoid_Osteoma
BST::Bone::Osteogenic::Benign::Osteoma,Osteoma,bst,BST,Bone,abpath,Osteoma,bst::osteoma,1,BST::Bone::Osteogenic::Osteoma
BST::Bone::Osteogenic::High_Grade_Surface_Osteosarcoma,High_Grade_Surface_Osteosarcoma,bst,BST,Bone,who,High Grade Surface Osteosarcoma,bst::high_grade_surface_osteosarcoma,0,
BST::Bone::Osteogenic::Low_Grade_Central_Osteosarcoma,Low_Grade_Central_Osteosarcoma,bst,BST,Bone,who,Low Grade Central Osteosarcoma,bst::low_grade_central_osteosarcoma,0,
BST::Bone::Osteogenic::Malignant::Osteosarcoma_Conventional,Osteosarcoma_Conventional,bst,BST,Bone,abpath,Osteosarcoma Conventional,bst::osteosarcoma_conventional,0,
BST::Bone::Osteogenic::Malignant::Osteosarcoma_High_Grade_Surface,Osteosarcoma_High_Grade_Surface,bst,BST,Bone,abpath,Osteosarcoma High Grade Surface,bst::osteosarcoma_high_grade_surface,0,
BST::Bone::Osteogenic::Malignant::Osteosarcoma_Low_Grade_Central,Osteosarcoma_Low_Grade_Central,bst,BST,Bone,abpath,Osteosarcoma Low Grade Central,bst::osteosarcoma_low_grade_central,0,
BST::Bone::Osteogenic::Malignant::Osteosarcoma_Parosteal,Osteosarcoma_Parosteal,bst,BST,Bone,abpath,Osteosarcoma Parosteal,bst::osteosarcoma_parosteal,0,
BST::Bone::Osteogenic::Malignant::Osteosarcoma_Periosteal,Osteosarcoma_Periosteal,bst,BST,Bone,abpath,Osteosarcoma Periosteal,bst::osteosarcoma_periosteal,0,
BST::Bone::Osteogenic::Malignant::Osteosarcoma_Secondary,Osteosarcoma_Secondary,bst,BST,Bone,abpath,Osteosarcoma Secondary,bst::osteosarcoma_secondary,0,
BST::Bone::Osteogenic::Malignant::Osteosarcoma_Small_Cell,Osteosarcoma_Small_Cell,bst,BST,Bone,abpath,Osteosarcoma Small Cell,bst::osteosarcoma_small_cell,0,
BST::Bone::Osteogenic::Malignant::Osteosarcoma_Telangiectatic,Osteosarcoma_Telangiectatic,bst,BST,Bone,abpath,Osteosarcoma Telangiectatic,bst::osteosarcoma_telangiectatic,0,
BST::Bone::Other::Benign::Chondromesenchymal_Hamartoma,Chondromesenchymal_Hamartoma,bst,BST,Bone,abpath,Chondromesenchymal Hamartoma,bst::chondromesenchymal_hamartoma,0,
BST::Bone::Other::Benign::Fibrous_Dysplasia,Fibrous_Dysplasia,bst,BST,Bone,abpath,Fibrous Dysplasia,bst::fibrous_dysplasia,1,BST::Bone::Other_Mesenchymal::Fibrous_Dysplasia
